@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
13,10,4,11,11,8,8,1,6,-4,-5,East
14,10,4,11,11,10,10,1,5,-5,-6,East
15,10,4,12,12,11,11,1,4,-6,-7,East
16,10,4,14,14,13,13,1,3,-7,-8,East
17,10,4,14,14,15,15,1,2,-8,-9,East
18,10,4,14,14,15,15,1,1,-9,-10,East
18,10,4,14,14,14,14,1,1,-10,-11,East
18,10,4,15,15,14,14,1,1,-11,-12,East
18,10,4,16,16,14,14,1,1,-12,-13,East
18,10,4,17,17,14,14,1,1,-13,86,East
18,9,4,17,17,14,14,0,999999999,86,85,South
18,8,4,16,16,16,16,0,999999999,85,84,South
18,7,4,14,14,16,16,0,999999999,84,83,South
18,6,4,14,14,17,17,0,999999999,83,82,South
17,6,4,14,14,16,16,0,999999999,82,81,West
16,6,4,14,14,16,16,0,999999999,81,80,West
15,6,4,12,12,15,15,0,999999999,80,79,West
14,6,4,10,10,15,15,0,999999999,79,78,West
13,6,4,8,8,15,15,0,999999999,78,77,West
12,6,4,6,6,13,13,0,999999999,77,76,West
11,6,4,6,6,11,11,0,999999999,76,75,West
11,5,4,5,5,13,13,0,999999999,75,74,South
11,4,4,4,4,15,15,0,999999999,74,73,South
11,3,4,2,2,15,15,0,999999999,73,72,South
10,3,4,1,1,15,15,0,999999999,72,271,West
9,3,3,9223372036854775807,9223372036854775807,15,15,0,999999999,271,270,West
8,3,3,9223372036854775807,9223372036854775807,15,15,0,999999999,270,469,West
7,3,2,9223372036854775807,9223372036854775807,13,13,0,999999999,469,468,West
6,3,2,9223372036854775807,9223372036854775807,11,11,0,999999999,468,467,West
5,3,2,9223372036854775807,9223372036854775807,11,11,0,999999999,467,466,West
5,4,2,9223372036854775807,9223372036854775807,9,9,0,999999999,466,465,North
5,5,2,9223372036854775807,9223372036854775807,9,9,0,999999999,465,464,North
5,6,2,9223372036854775807,9223372036854775807,8,8,0,999999999,464,463,North
6,6,2,9223372036854775807,9223372036854775807,8,8,0,999999999,463,462,East
7,6,2,9223372036854775807,9223372036854775807,8,8,0,999999999,462,461,East
8,6,2,9223372036854775807,9223372036854775807,8,8,0,999999999,461,460,East
8,7,2,9223372036854775807,9223372036854775807,6,6,0,999999999,460,459,North
8,8,2,9223372036854775807,9223372036854775807,4,4,0,999999999,459,458,North
8,9,2,9223372036854775807,9223372036854775807,2,2,0,999999999,458,457,North
8,10,2,9223372036854775807,9223372036854775807,2,2,0,999999999,457,456,North
8,11,2,9223372036854775807,9223372036854775807,2,2,0,999999999,456,455,North
7,11,2,9223372036854775807,9223372036854775807,2,2,0,999999999,455,454,West
6,11,2,9223372036854775807,9223372036854775807,4,4,0,999999999,454,453,West
6,10,2,9223372036854775807,9223372036854775807,2,2,0,999999999,453,452,South
7,10,2,9223372036854775807,9223372036854775807,2,2,0,999999999,452,451,East
8,10,2,9223372036854775807,9223372036854775807,1,1,0,999999999,451,650,East
9,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,650,649,East
10,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,649,648,East
11,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,648,647,East
12,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,647,646,East
13,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,646,645,East
14,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,645,644,East
15,10,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,644,643,East
2,11,4,12,12,8,8,2,13,-3,-4,East
3,11,4,13,13,7,7,2,12,-4,-5,East
4,11,4,13,13,7,7,2,11,-5,-6,East
5,11,4,12,12,7,7,2,10,-6,-7,East
6,11,4,12,12,7,7,2,9,-7,-8,East
7,11,4,12,12,8,8,2,8,-8,-9,East
8,11,4,12,12,6,6,2,7,-9,-10,East
9,11,4,12,12,6,6,2,6,-10,189,East
10,11,3,11,11,6,6,2,5,189,188,East
10,10,3,11,11,4,4,2,4,188,187,South
10,9,3,9,9,3,3,2,3,187,186,South
10,8,3,9,9,1,1,2,2,186,385,South
10,7,2,9,9,9223372036854775807,9223372036854775807,2,1,385,484,South
10,6,2,7,7,9223372036854775807,9223372036854775807,1,8,484,483,South
10,5,2,5,5,9223372036854775807,9223372036854775807,1,9,483,482,South
10,4,2,3,3,9223372036854775807,9223372036854775807,1,10,482,481,South
