@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-6,11-12'

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute movimientofantasma1 {North,South,East,West,Stop,None}
@attribute movimientofantasma2 {North,South,East,West,Stop,None}
@attribute movimientofantasma3 {North,South,East,West,Stop,None}
@attribute movimientofantasma4 {North,South,East,West,Stop,None}
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
17,4,North,West,Stop,Stop,386,North
10,5,East,North,Stop,Stop,376,North
9,6,South,South,Stop,Stop,374,North
8,7,South,South,Stop,Stop,372,North
5,8,Stop,East,Stop,Stop,566,North
5,9,Stop,East,Stop,Stop,565,North
6,10,Stop,East,Stop,Stop,563,North
13,5,East,East,West,West,-13,North
16,6,North,North,East,East,-17,North
16,7,North,North,North,East,-18,North
16,8,West,North,North,East,-19,North
16,9,West,North,West,South,-20,North
18,10,East,East,North,North,77,North
18,11,East,East,South,West,76,North
15,12,South,South,North,North,72,North
15,13,South,South,South,South,71,North
15,14,North,South,South,North,70,North
7,12,East,East,Stop,Stop,456,North
7,13,East,East,Stop,Stop,455,North
7,14,West,East,Stop,Stop,454,North
17,8,East,Stop,Stop,Stop,636,North
7,4,Stop,Stop,East,North,379,North
10,5,Stop,Stop,West,East,375,North
10,6,Stop,Stop,West,West,474,North
10,7,Stop,Stop,South,West,473,North
10,8,Stop,Stop,South,West,472,North
10,9,Stop,Stop,Stop,West,671,North
10,10,Stop,Stop,Stop,West,670,North
4,4,Stop,Stop,Stop,West,559,North
9,5,Stop,Stop,Stop,South,553,North
9,6,Stop,Stop,Stop,North,552,North
9,7,Stop,Stop,Stop,North,551,North
18,6,Stop,Stop,Stop,West,639,North
18,7,Stop,Stop,Stop,West,638,North
15,8,Stop,Stop,Stop,North,634,North
15,9,Stop,Stop,Stop,North,633,North
14,10,Stop,Stop,Stop,North,731,North
14,11,Stop,Stop,Stop,North,730,North
14,11,Stop,Stop,Stop,North,729,North
12,8,South,East,Stop,Stop,478,North
12,9,West,South,Stop,Stop,477,North
2,4,North,East,Stop,Stop,459,North
2,5,North,North,Stop,Stop,458,North
2,5,Stop,East,Stop,Stop,657,North
1,6,Stop,West,Stop,Stop,654,North
1,7,Stop,West,Stop,Stop,653,North
7,8,Stop,East,Stop,Stop,646,North
14,11,South,East,North,East,-6,North
14,12,South,North,West,East,-7,North
14,13,South,North,West,North,-8,North
17,14,West,West,North,Stop,188,North
7,7,North,Stop,Stop,Stop,563,North
7,8,North,Stop,Stop,Stop,562,North
12,8,East,West,East,East,83,North
12,9,North,South,North,East,82,North
