@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R8-11

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
17,4,2,14,14,24,24,1,6,386,North
10,5,2,11,11,17,17,1,12,376,North
9,6,2,7,7,14,14,1,12,374,North
8,7,2,3,3,12,12,1,12,372,North
5,8,1,9223372036854776000,9223372036854776000,6,6,1,14,566,North
5,9,1,9223372036854776000,9223372036854776000,5,5,1,13,565,North
6,10,1,9223372036854776000,9223372036854776000,2,2,1,13,563,North
13,5,4,8,8,16,16,1,9,-13,North
16,6,4,10,10,17,17,1,5,-17,North
16,7,4,10,10,17,17,1,4,-18,North
16,8,4,12,12,16,16,1,3,-19,North
16,9,4,13,13,15,15,1,2,-20,North
18,10,4,13,13,16,16,0,999999999,77,North
18,11,4,13,13,15,15,0,999999999,76,North
15,12,4,10,10,11,11,0,999999999,72,North
15,13,4,12,12,10,10,0,999999999,71,North
15,14,4,12,12,11,11,0,999999999,70,North
7,12,2,14,14,5,5,0,999999999,456,North
7,13,2,16,16,5,5,0,999999999,455,North
7,14,2,16,16,4,4,0,999999999,454,North
17,8,1,2,2,9223372036854776000,9223372036854776000,0,999999999,636,North
7,4,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,5,379,North
10,5,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,1,375,North
10,6,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,8,474,North
10,7,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,7,473,North
10,8,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,6,472,North
10,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,5,671,North
10,10,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,4,670,North
4,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,8,559,North
9,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,2,553,North
9,6,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,1,552,North
9,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,2,551,North
18,6,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,8,639,North
18,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,7,638,North
15,8,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,3,634,North
15,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,2,633,North
14,10,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,731,North
14,11,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,730,North
14,11,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,729,North
12,8,2,13,13,5,5,1,4,478,North
12,9,2,13,13,5,5,1,5,477,North
2,4,2,2,2,12,12,1,10,459,North
2,5,2,1,1,12,12,1,9,458,North
2,5,1,9223372036854776000,9223372036854776000,13,13,1,9,657,North
