@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
2,11,4,12,12,4,4,2,13,-2,-3,East
3,11,4,14,14,2,2,2,12,-3,-4,East
4,11,4,14,14,1,1,2,11,-4,195,East
5,11,3,15,15,9223372036854775807,9223372036854775807,2,10,195,394,East
6,11,2,15,15,9223372036854775807,9223372036854775807,2,9,394,393,East
7,11,2,15,15,9223372036854775807,9223372036854775807,2,8,393,392,East
8,11,2,15,15,9223372036854775807,9223372036854775807,2,7,392,391,East
9,11,2,13,13,9223372036854775807,9223372036854775807,2,6,391,390,East
10,11,2,11,11,9223372036854775807,9223372036854775807,2,5,390,389,East
11,11,2,13,13,9223372036854775807,9223372036854775807,2,4,389,388,East
11,10,2,13,13,9223372036854775807,9223372036854775807,2,3,388,387,South
11,9,2,11,11,9223372036854775807,9223372036854775807,2,4,387,586,South
12,9,1,11,11,9223372036854775807,9223372036854775807,2,3,586,585,East
13,9,1,13,13,9223372036854775807,9223372036854775807,2,2,585,584,East
14,9,1,13,13,9223372036854775807,9223372036854775807,2,1,584,583,East
15,9,1,15,15,9223372036854775807,9223372036854775807,2,2,583,582,East
14,9,1,13,13,9223372036854775807,9223372036854775807,2,1,582,581,West
13,9,1,11,11,9223372036854775807,9223372036854775807,2,2,581,580,West
12,9,1,11,11,9223372036854775807,9223372036854775807,2,3,580,579,West
11,9,1,11,11,9223372036854775807,9223372036854775807,2,4,579,578,West
10,9,1,10,10,9223372036854775807,9223372036854775807,2,3,578,577,West
10,8,1,8,8,9223372036854775807,9223372036854775807,2,2,577,576,South
10,7,1,7,7,9223372036854775807,9223372036854775807,2,1,576,675,South
10,6,1,5,5,9223372036854775807,9223372036854775807,1,8,675,674,South
10,5,1,5,5,9223372036854775807,9223372036854775807,1,9,674,673,South
10,4,1,3,3,9223372036854775807,9223372036854775807,1,10,673,672,South
9,4,1,3,3,9223372036854775807,9223372036854775807,1,11,672,671,West
8,4,1,1,1,9223372036854775807,9223372036854775807,1,12,671,870,West
2,18,4,22,22,24,24,0,999999999,-2,-3,East
3,18,4,22,22,26,26,0,999999999,-3,-4,East
4,18,4,24,24,26,26,0,999999999,-4,-5,East
5,18,4,24,24,27,27,0,999999999,-5,-6,East
6,18,4,24,24,25,25,0,999999999,-6,-7,East
7,18,4,25,25,23,23,0,999999999,-7,-8,East
8,18,4,27,27,21,21,0,999999999,-8,-9,East
9,18,4,27,27,21,21,0,999999999,-9,-10,East
10,18,4,27,27,19,19,0,999999999,-10,-11,East
11,18,4,27,27,18,18,0,999999999,-11,-12,East
12,18,4,25,25,18,18,0,999999999,-12,-13,East
13,18,4,23,23,18,18,0,999999999,-13,-14,East
14,18,4,23,23,17,17,0,999999999,-14,-15,East
14,17,4,22,22,17,17,0,999999999,-15,-16,South
14,16,4,22,22,15,15,0,999999999,-16,-17,South
14,15,4,22,22,13,13,0,999999999,-17,-18,South
14,14,4,22,22,12,12,0,999999999,-18,-19,South
14,13,4,20,20,10,10,0,999999999,-19,-20,South
14,12,4,18,18,10,10,0,999999999,-20,-21,South
14,11,4,18,18,12,12,0,999999999,-21,-22,South
14,10,4,19,19,14,14,0,999999999,-22,-23,South
14,9,4,19,19,16,16,0,999999999,-23,-24,South
14,8,4,20,20,16,16,0,999999999,-24,-25,South
14,7,4,21,21,16,16,0,999999999,-25,-26,South
14,6,4,21,21,16,16,0,999999999,-26,173,South
15,6,3,22,22,17,17,0,999999999,173,172,East
16,6,3,24,24,17,17,0,999999999,172,171,East
17,6,3,26,26,17,17,0,999999999,171,170,East
18,6,3,26,26,19,19,0,999999999,170,169,East
19,6,3,28,28,21,21,0,999999999,169,168,East
20,6,3,28,28,21,21,0,999999999,168,167,East
21,6,3,30,30,21,21,0,999999999,167,166,East
22,6,3,30,30,21,21,0,999999999,166,165,East
23,6,3,32,32,22,22,0,999999999,165,164,East
24,6,3,34,34,23,23,0,999999999,164,163,East
24,7,3,33,33,21,21,0,999999999,163,162,North
25,7,3,33,33,23,23,0,999999999,162,161,East
26,7,3,34,34,25,25,0,999999999,161,160,East
26,8,3,34,34,24,24,0,999999999,160,159,North
26,9,3,34,34,23,23,0,999999999,159,158,North
25,9,3,32,32,22,22,0,999999999,158,157,West
24,9,3,30,30,21,21,0,999999999,157,156,West
24,8,3,32,32,23,23,0,999999999,156,155,South
25,8,3,34,34,23,23,0,999999999,155,154,East
25,7,3,34,34,24,24,0,999999999,154,353,South
26,7,2,34,34,25,25,0,999999999,353,352,East
27,7,2,36,36,27,27,0,999999999,352,351,East
28,7,2,38,38,28,28,0,999999999,351,350,East
27,7,2,36,36,26,26,0,999999999,350,349,West
26,7,2,36,36,26,26,0,999999999,349,348,West
25,7,2,35,35,24,24,0,999999999,348,347,West
24,7,2,33,33,22,22,0,999999999,347,346,West
23,7,2,32,32,22,22,0,999999999,346,345,West
