@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0.037037,0.533333,1,0,0,0,0,1,0,0.034237,0.02567,East
0.074074,0.533333,1,0,0,0,0,1,0,0.03281,0.024554,East
0.111111,0.533333,1,0,0,0,0,1,0,0.031384,0.246652,East
0.148148,0.533333,0.666667,0,0,1,1,1,0,0.315264,0.46875,East
0.185185,0.533333,0.333333,0,0,1,1,1,0,0.599144,0.467634,East
0.222222,0.533333,0.333333,0,0,1,1,1,0,0.597718,0.466518,East
0.259259,0.533333,0.333333,0,0,1,1,1,0,0.596291,0.465402,East
0.296296,0.533333,0.333333,0,0,1,1,1,0,0.594864,0.464286,East
0.333333,0.533333,0.333333,0,0,1,1,1,0,0.593438,0.46317,East
0.37037,0.533333,0.333333,0,0,1,1,1,0,0.592011,0.462054,East
0.37037,0.466667,0.333333,0,0,1,1,1,0,0.590585,0.460938,South
0.37037,0.4,0.333333,0,0,1,1,1,0,0.589158,0.683036,South
0.407407,0.4,0,0,0,1,1,1,0,0.873039,0.68192,East
0.444444,0.4,0,0,0,1,1,1,0,0.871612,0.680804,East
0.481481,0.4,0,0,0,1,1,1,0,0.870185,0.679688,East
0.518519,0.4,0,0,0,1,1,1,0,0.868759,0.678571,East
0.481481,0.4,0,0,0,1,1,1,0,0.867332,0.677455,West
0.444444,0.4,0,0,0,1,1,1,0,0.865906,0.676339,West
0.407407,0.4,0,0,0,1,1,1,0,0.864479,0.675223,West
0.37037,0.4,0,0,0,1,1,1,0,0.863053,0.674107,West
0.333333,0.4,0,0,0,1,1,1,0,0.861626,0.672991,West
0.333333,0.333333,0,0,0,1,1,1,0,0.8602,0.671875,South
0.333333,0.266667,0,0,0,1,1,1,0,0.858773,0.782366,South
0.333333,0.2,0,0,0,1,1,0.5,0,1,0.78125,South
0.333333,0.133333,0,0,0,1,1,0.5,0,0.998573,0.780134,South
0.333333,0.066667,0,0,0,1,1,0.5,0,0.997147,0.779018,South
0.296296,0.066667,0,0,0,1,1,0.5,0,0.99572,0.777902,West
0.259259,0.066667,0,0,0,1,1,0.5,0,0.994294,1,West
0.037037,1,1,0,0,0,0,0,1,0.034237,0.02567,East
0.074074,1,1,0,0,0,0,0,1,0.03281,0.024554,East
0.111111,1,1,0,0,0,0,0,1,0.031384,0.023438,East
0.148148,1,1,0,0,0,0,0,1,0.029957,0.022321,East
0.185185,1,1,0,0,0,0,0,1,0.028531,0.021205,East
0.222222,1,1,0,0,0,0,0,1,0.027104,0.020089,East
0.259259,1,1,0,0,0,0,0,1,0.025678,0.018973,East
0.296296,1,1,0,0,0,0,0,1,0.024251,0.017857,East
0.333333,1,1,0,0,0,0,0,1,0.022825,0.016741,East
0.37037,1,1,0,0,0,0,0,1,0.021398,0.015625,East
0.407407,1,1,0,0,0,0,0,1,0.019971,0.014509,East
0.444444,1,1,0,0,0,0,0,1,0.018545,0.013393,East
0.481481,1,1,0,0,0,0,0,1,0.017118,0.012277,East
0.481481,0.933333,1,0,0,0,0,0,1,0.015692,0.011161,South
0.481481,0.866667,1,0,0,0,0,0,1,0.014265,0.010045,South
0.481481,0.8,1,0,0,0,0,0,1,0.012839,0.008929,South
0.481481,0.733333,1,0,0,0,0,0,1,0.011412,0.007813,South
0.481481,0.666667,1,0,0,0,0,0,1,0.009986,0.006696,South
0.481481,0.6,1,0,0,0,0,0,1,0.008559,0.00558,South
0.481481,0.533333,1,0,0,0,0,0,1,0.007133,0.004464,South
0.481481,0.466667,1,0,0,0,0,0,1,0.005706,0.003348,South
0.481481,0.4,1,0,0,0,0,0,1,0.00428,0.002232,South
0.481481,0.333333,1,0,0,0,0,0,1,0.002853,0.001116,South
0.481481,0.266667,1,0,0,0,0,0,1,0.001427,0,South
0.481481,0.2,1,0,0,0,0,0,1,0,0.222098,South
0.518519,0.2,0.666667,0,0,0,0,0,1,0.28388,0.220982,East
0.555556,0.2,0.666667,0,0,0,0,0,1,0.282454,0.219866,East
0.592593,0.2,0.666667,0,0,0,0,0,1,0.281027,0.21875,East
0.62963,0.2,0.666667,0,0,0,0,0,1,0.279601,0.217634,East
0.666667,0.2,0.666667,0,0,0,0,0,1,0.278174,0.216518,East
0.703704,0.2,0.666667,0,0,0,0,0,1,0.276748,0.215402,East
0.740741,0.2,0.666667,0,0,0,0,0,1,0.275321,0.214286,East
0.777778,0.2,0.666667,0,0,0,0,0,1,0.273894,0.21317,East
0.814815,0.2,0.666667,0,0,0,0,0,1,0.272468,0.212054,East
0.851852,0.2,0.666667,0,0,0,0,0,1,0.271041,0.210938,East
0.851852,0.266667,0.666667,0,0,0,0,0,1,0.269615,0.209821,North
0.888889,0.266667,0.666667,0,0,0,0,0,1,0.268188,0.208705,East
0.925926,0.266667,0.666667,0,0,0,0,0,1,0.266762,0.207589,East
0.925926,0.333333,0.666667,0,0,0,0,0,1,0.265335,0.206473,North
0.925926,0.4,0.666667,0,0,0,0,0,1,0.263909,0.205357,North
0.888889,0.4,0.666667,0,0,0,0,0,1,0.262482,0.204241,West
0.851852,0.4,0.666667,0,0,0,0,0,1,0.261056,0.203125,West
0.851852,0.333333,0.666667,0,0,0,0,0,1,0.259629,0.202009,South
0.888889,0.333333,0.666667,0,0,0,0,0,1,0.258203,0.200893,East
0.888889,0.266667,0.666667,0,0,0,0,0,1,0.256776,0.422991,South
0.925926,0.266667,0.333333,0,0,0,0,0,1,0.540656,0.421875,East
0.962963,0.266667,0.333333,0,0,0,0,0,1,0.53923,0.420759,East
1,0.266667,0.333333,0,0,0,0,0,1,0.537803,0.419643,East
0.962963,0.266667,0.333333,0,0,0,0,0,1,0.536377,0.418527,West
0.925926,0.266667,0.333333,0,0,0,0,0,1,0.53495,0.417411,West
0.888889,0.266667,0.333333,0,0,0,0,0,1,0.533524,0.416295,West
0.851852,0.266667,0.333333,0,0,0,0,0,1,0.532097,0.415179,West
0.814815,0.266667,0.333333,0,0,0,0,0,1,0.53067,0.414063,West
0.814815,0.333333,0.333333,0,0,0,0,0,1,0.529244,0.412946,North
0.777778,0.333333,0.333333,0,0,0,0,0,1,0.527817,0.41183,West
0.740741,0.333333,0.333333,0,0,0,0,0,1,0.526391,0.410714,West
0.703704,0.333333,0.333333,0,0,0,0,0,1,0.524964,0.409598,West
0.666667,0.333333,0.333333,0,0,0,0,0,1,0.523538,0.408482,West
0.62963,0.333333,0.333333,0,0,0,0,0,1,0.522111,0.407366,West
0.592593,0.333333,0.333333,0,0,0,0,0,1,0.520685,0.40625,West
0.555556,0.333333,0.333333,0,0,0,0,0,1,0.519258,0.405134,West
0.518519,0.333333,0.333333,0,0,0,0,0,1,0.517832,0.404018,West
0.481481,0.333333,0.333333,0,0,0,0,0,1,0.516405,0.402902,West
0.481481,0.4,0.333333,0,0,0,0,0,1,0.514979,0.401786,North
0.481481,0.466667,0.333333,0,0,0,0,0,1,0.513552,0.40067,North
0.481481,0.533333,0.333333,0,0,0,0,0,1,0.512126,0.399554,North
0.444444,0.533333,0.333333,0,0,0,0,0,1,0.510699,0.398438,West
0.444444,0.533333,0.333333,0,0,0,0,0,1,0.509272,0.397321,West
0.444444,0.533333,0.333333,0,0,0,0,0,1,0.507846,0.396205,West
0.444444,0.6,0.333333,0,0,0,0,0,1,0.506419,0.395089,North
0.407407,0.6,0.333333,0,0,0,0,0,1,0.504993,0.393973,West
0.37037,0.6,0.333333,0,0,0,0,0,1,0.503566,0.392857,West
0.333333,0.6,0.333333,0,0,0,0,0,1,0.50214,0.391741,West
0.296296,0.6,0.333333,0,0,0,0,0,1,0.500713,0.390625,West
0.296296,0.666667,0.333333,0,0,0,0,0,1,0.499287,0.389509,North
0.259259,0.666667,0.333333,0,0,0,0,0,1,0.49786,0.388393,West
0.259259,0.666667,0.333333,0,0,0,0,0,1,0.496434,0.387277,West
0.259259,0.733333,0.333333,0,0,0,0,0,1,0.495007,0.386161,North
0.259259,0.8,0.333333,0,0,0,0,0,1,0.493581,0.385045,North
0.222222,0.8,0.333333,0,0,0,0,0,1,0.492154,0.383929,West
0.185185,0.8,0.333333,0,0,0,0,0,1,0.490728,0.382813,West
0.148148,0.8,0.333333,0,0,0,0,0,1,0.489301,0.381696,West
0.148148,0.866667,0.333333,0,0,0,0,0,1,0.487874,0.38058,North
0.111111,0.866667,0.333333,0,0,0,0,0,1,0.486448,0.379464,West
0.074074,0.866667,0.333333,0,0,0,0,0,1,0.485021,0.601563,West
0.074074,0.8,0,0,0,1,1,0,1,0.768902,0.600446,South
0.111111,0.8,0,0,0,1,1,0,1,0.767475,0.59933,East
0.148148,0.8,0,0,0,1,1,0,1,0.766049,0.598214,East
0.111111,0.8,0,0,0,1,1,0,1,0.764622,0.597098,West
0.074074,0.8,0,0,0,1,1,0,1,0.763195,0.595982,West
0.037037,0.8,0,0,0,1,1,0,1,0.761769,0.594866,West
0,0.8,0,0,0,0,0,0,1,0.760342,0.59375,West
0,0.733333,0,0,0,1,1,0,1,0.758916,0.592634,South
0,0.666667,0,0,0,1,1,0,1,0.757489,0.591518,South
0,0.6,0,0,0,1,1,0,1,0.756063,0.590402,South
0,0.533333,0,0,0,1,1,0,1,0.754636,0.589286,South
0,0.466667,0,0,0,1,1,0,1,0.75321,0.58817,South
0,0.4,0,0,0,1,1,0,1,0.751783,0.587054,South
0,0.333333,0,0,0,1,1,0,1,0.750357,0.585938,South
0,0.266667,0,0,0,1,1,0,1,0.74893,0.584821,South
0,0.2,0,0,0,1,1,0,1,0.747504,0.583705,South
0.037037,0.2,0,0,0,1,1,0,1,0.746077,0.582589,East
0.074074,0.2,0,0,0,1,1,0,1,0.74465,0.581473,East
0.111111,0.2,0,0,0,1,1,0,1,0.743224,0.580357,East
0.111111,0.266667,0,0,0,1,1,0,1,0.741797,0.579241,North
0.111111,0.333333,0,0,0,1,1,0,1,0.740371,0.578125,North
0.148148,0.333333,0,0,0,1,1,0,1,0.738944,0.800223,East
0,0.933333,1,0,0,0,0,0,1,0.03281,0.024554,South
0,0.866667,1,0,0,0,0,0,1,0.031384,0.023438,South
0,0.8,1,0,0,0,0,0,1,0.029957,0.022321,South
0,0.733333,1,0,0,0,0,0,1,0.028531,0.021205,South
0,0.666667,1,0,0,0,0,0,1,0.027104,0.020089,South
0,0.6,1,0,0,0,0,0,1,0.025678,0.018973,South
0,0.533333,1,0,0,0,0,0,1,0.024251,0.017857,South
0,0.466667,1,0,0,0,0,0,1,0.022825,0.016741,South
0,0.4,1,0,0,0,0,0,1,0.021398,0.015625,South
0,0.333333,1,0,0,0,0,0,1,0.019971,0.014509,South
0,0.266667,1,0,0,0,0,0,1,0.018545,0.013393,South
0,0.2,1,0,0,0,0,0,1,0.017118,0.012277,South
0.037037,0.2,1,0,0,0,0,0,1,0.015692,0.011161,East
0.074074,0.2,1,0,0,0,0,0,1,0.014265,0.010045,East
0.111111,0.2,1,0,0,0,0,0,1,0.012839,0.008929,East
0.111111,0.266667,1,0,0,0,0,0,1,0.011412,0.007813,North
0.111111,0.333333,0.666667,1,1,0,0,0,1,0.295292,0.229911,North
0.111111,0.4,0.666667,1,1,0,0,0,1,0.293866,0.228795,North
0.111111,0.466667,0.666667,1,1,0,0,0,1,0.292439,0.227679,North
0.148148,0.466667,0.666667,1,1,0,0,0,1,0.291013,0.226563,East
0.148148,0.4,0.666667,1,1,0,0,0,1,0.289586,0.225446,South
0.148148,0.333333,0.666667,1,1,0,0,0,1,0.28816,0.22433,South
0.148148,0.266667,0.666667,1,1,0,0,0,1,0.286733,0.223214,South
0.148148,0.2,0.666667,1,1,0,0,0,1,0.285307,0.222098,South
0.148148,0.133333,0.666667,1,1,0,0,0,1,0.28388,0.220982,South
0.148148,0.066667,0.666667,1,1,0,0,0,1,0.282454,0.219866,South
0.148148,0,0.666667,1,1,0,0,0,1,0.281027,0.21875,South
0.185185,0,0.666667,1,1,0,0,0,1,0.279601,0.217634,East
0.222222,0,0.666667,1,1,0,0,0,1,0.278174,0.216518,East
0.259259,0,0.666667,1,1,0,0,0,1,0.276748,0.215402,East
0.296296,0,0.666667,1,1,0,0,0,1,0.275321,0.214286,East
0.296296,0.066667,0.666667,1,1,0,0,0,1,0.273894,0.21317,North
0.296296,0.133333,0.666667,1,1,0,0,0,1,0.272468,0.212054,North
0.296296,0.2,0.666667,1,1,0,0,0,1,0.271041,0.210938,North
0.296296,0.266667,0.666667,1,1,0,0,0,1,0.269615,0.209821,North
0.296296,0.333333,0.666667,1,1,0,0,0,1,0.268188,0.208705,North
0.296296,0.4,0.666667,1,1,0,0,0,1,0.266762,0.207589,North
0.296296,0.466667,0.666667,1,1,0,0,0,1,0.265335,0.206473,North
0.333333,0.466667,0.666667,1,1,0,0,0,1,0.263909,0.428571,East
0.37037,0.466667,0.333333,1,1,1,1,0,1,0.547789,0.427455,East
0.37037,0.533333,0.333333,1,1,1,1,0,1,0.546362,0.426339,North
0.37037,0.6,0.333333,1,1,1,1,0,1,0.544936,0.425223,North
0.407407,0.6,0.333333,1,1,1,1,0,1,0.543509,0.424107,East
0.444444,0.6,0.333333,1,1,1,1,0,1,0.542083,0.422991,East
0.481481,0.6,0.333333,1,1,1,1,0,1,0.540656,0.421875,East
0.518519,0.6,0.333333,1,1,1,1,0,1,0.53923,0.420759,East
0.518519,0.533333,0.333333,1,1,1,1,0,1,0.537803,0.419643,South
0.518519,0.466667,0.333333,1,1,1,1,0,1,0.536377,0.418527,South
0.555556,0.466667,0,1,1,1,1,0,1,0.820257,0.640625,East
0.592593,0.466667,0,1,1,1,1,0,1,0.81883,0.639509,East
0.62963,0.466667,0,1,1,1,1,0,1,0.817404,0.638393,East
0.62963,0.533333,0,1,1,1,1,0,1,0.815977,0.637277,North
0.62963,0.6,0,1,1,1,1,0,1,0.814551,0.636161,North
0.666667,0.6,0,1,1,1,1,0,1,0.813124,0.635045,East
0.666667,0.666667,0,1,1,1,1,0,1,0.811698,0.633929,North
0.703704,0.666667,0,1,1,1,1,0,1,0.810271,0.632813,East
0.703704,0.666667,0,1,1,1,1,0,1,0.808845,0.631696,East
0.703704,0.733333,0,1,1,1,1,0,1,0.807418,0.63058,North
0.703704,0.8,0,1,1,1,1,0,1,0.805991,0.629464,North
0.740741,0.8,0,1,1,1,1,0,1,0.804565,0.628348,East
0.777778,0.8,0,1,1,1,1,0,1,0.803138,0.850446,East
0,0.933333,1,0,0,0,0,0,1,0.034237,0.02567,South
0,0.866667,1,0,0,0,0,0,1,0.03281,0.024554,South
0,0.8,1,0,0,0,0,0,1,0.031384,0.023438,South
0,0.733333,1,0,0,0,0,0,1,0.029957,0.022321,South
0,0.666667,1,0,0,0,0,0,1,0.028531,0.021205,South
0,0.6,1,0,0,0,0,0,1,0.027104,0.020089,South
0,0.533333,1,0,0,0,0,0,1,0.025678,0.018973,South
0,0.466667,1,0,0,0,0,0,1,0.024251,0.017857,South
0,0.4,1,0,0,0,0,0,1,0.022825,0.016741,South
0,0.333333,1,0,0,0,0,0,1,0.021398,0.015625,South
0,0.266667,1,0,0,0,0,0,1,0.019971,0.237723,South
0,0.2,0.666667,0,0,1,1,0,1,0.303852,0.236607,South
0,0.133333,0.666667,0,0,1,1,0,1,0.302425,0.235491,South
0,0.066667,0.333333,1,1,1,1,0,1,0.586305,0.457589,South
0,0,0.333333,1,1,1,1,0,1,0.584879,0.456473,South
0.037037,0,0.333333,1,1,1,1,0,1,0.583452,0.455357,East
0.074074,0,0.333333,1,1,1,1,0,1,0.582026,0.454241,East
0.074074,0.066667,0.333333,1,1,1,1,0,1,0.580599,0.453125,North
0.074074,0.133333,0.333333,1,1,1,1,0,1,0.579173,0.452009,North
0.074074,0.2,0.333333,1,1,1,1,0,1,0.577746,0.450893,North
0.074074,0.266667,0.333333,1,1,1,1,0,1,0.57632,0.449777,North
0.074074,0.333333,0.333333,1,1,1,1,0,1,0.574893,0.448661,North
0.074074,0.4,0.333333,1,1,1,1,0,1,0.573466,0.447545,North
0.074074,0.466667,0.333333,1,1,1,1,0,1,0.57204,0.446429,North
0.111111,0.466667,0.333333,1,1,1,1,0,1,0.570613,0.445313,East
0.148148,0.466667,0.333333,1,1,1,1,0,1,0.569187,0.444196,East
0.148148,0.4,0.333333,1,1,1,1,0,1,0.56776,0.44308,South
