@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0,0.5,1,0,0,0,0,1,0,0.029801,0.021303,South
0,0.428571,1,0,0,0,0,1,0,0.028146,0.02005,South
0,0.357143,1,0,0,0,0,1,0,0.02649,0.018797,South
0.038462,0.357143,1,0,0,0,0,1,0,0.024834,0.017544,East
0.038462,0.285714,1,0,0,0,0,1,0,0.023179,0.016291,South
0.038462,0.357143,1,0,0,0,0,1,0,0.021523,0.015038,North
0.076923,0.357143,1,0,0,0,0,1,0,0.019868,0.013784,East
0.115385,0.357143,1,0,0,0,0,1,0,0.018212,0.012531,East
0.153846,0.357143,1,0,0,0,0,1,0,0.016556,0.011278,East
0.153846,0.428571,1,0,0,0,0,1,0,0.014901,0.010025,North
0.153846,0.357143,1,0,0,0,0,1,0,0.013245,0.008772,South
0.192308,0.357143,1,0,0,0,0,1,0,0.011589,0.258145,East
0.230769,0.357143,0.666667,0,0,1,1,1,0,0.34106,0.256892,East
0.230769,0.428571,0.666667,0,0,1,1,1,0,0.339404,0.255639,North
0.192308,0.428571,0.333333,0,0,1,1,1,0,0.668874,0.505013,West
0.192308,0.357143,0.333333,0,0,1,1,1,0,0.667219,0.503759,South
0.192308,0.285714,0.333333,0,0,1,1,1,0,0.665563,0.502506,South
0.230769,0.285714,0.333333,0,0,1,1,1,0,0.663907,0.501253,East
0.269231,0.285714,0.333333,0,0,1,1,1,0,0.662252,0.5,East
0.269231,0.214286,0.333333,0,0,1,1,1,0,0.660596,0.498747,South
0.269231,0.142857,0.333333,0,0,1,1,1,0,0.65894,0.497494,South
0.269231,0.071429,0.333333,0,0,1,1,1,0,0.657285,0.496241,South
0.230769,0.071429,0.333333,0,0,1,1,1,0,0.655629,0.494987,West
0.192308,0.071429,0,1,1,1,1,1,0,0.985099,0.744361,West
0.192308,0.142857,0,1,1,1,1,1,0,0.983444,0.743108,North
0.230769,0.142857,0,1,1,1,1,1,0,0.981788,0.741855,East
0.269231,0.142857,0,1,1,1,1,1,0,0.980132,0.740602,East
0.269231,0.214286,0,1,1,1,1,1,0,0.978477,0.739348,North
0.269231,0.285714,0,1,1,1,1,1,0,0.976821,0.738095,North
0.269231,0.357143,0,1,1,1,1,1,0,0.975166,0.736842,North
0.269231,0.428571,0,1,1,1,1,1,0,0.97351,0.735589,North
0.307692,0.428571,0,1,1,1,1,1,0,0.971854,0.734336,East
0.346154,0.428571,0,1,1,1,1,1,0,0.970199,0.733083,East
0.384615,0.428571,0,1,1,1,1,1,0,0.968543,0.73183,East
0.423077,0.428571,0,1,1,1,1,1,0,0.966887,0.730576,East
0.423077,0.357143,0,1,1,1,1,1,0,0.965232,0.729323,South
0.423077,0.428571,0,1,1,1,1,1,0,0.963576,0.72807,North
0.423077,0.357143,0,1,1,1,1,1,0,0.961921,0.726817,South
0.461538,0.357143,0,1,1,1,1,1,0,0.960265,0.97619,East
0.423077,0.571429,1,0,0,0,0,0.5,0,0.029801,0.021303,North
0.423077,0.642857,1,0,0,0,0,0.5,0,0.028146,0.270677,North
0.461538,0.642857,0.666667,0,0,0,0,0.5,0,0.357616,0.269424,East
0.461538,0.571429,0.666667,0,0,0,0,0.5,0,0.35596,0.26817,South
0.461538,0.5,0.666667,0,0,0,0,0.5,0,0.354305,0.266917,South
0.461538,0.428571,0.666667,0,0,0,0,0.5,0,0.352649,0.265664,South
0.461538,0.357143,0.666667,0,0,0,0,0.5,0,0.350993,0.264411,South
0.461538,0.285714,0.666667,0,0,0,0,0.5,0,0.349338,0.263158,South
0.461538,0.214286,0.666667,0,0,0,0,0.5,0,0.347682,0.512531,South
0.461538,0.142857,0.333333,0,0,0,0,0.5,0,0.677152,0.511278,South
