@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data

2,11,4,12,12,7,7,2,13,-3,-4,East
3,11,4,12,12,6,6,2,12,-4,-5,East
4,11,4,12,12,6,6,2,11,-5,-6,East
5,11,3,100,100,6,6,2,10,194,193,East
6,11,3,100,100,5,5,2,9,193,192,East
7,11,3,100,100,6,6,2,8,192,191,East
8,11,3,100,100,6,6,2,7,191,190,East
9,11,3,100,100,6,6,2,6,190,189,East
10,11,3,100,100,6,6,2,5,189,188,East
10,10,3,100,100,5,5,2,4,188,187,South
10,9,3,100,100,5,5,2,3,187,186,South
9,9,3,100,100,3,3,2,4,186,185,West
8,9,3,100,100,1,1,2,5,185,184,West
7,9,3,100,100,2,2,2,6,184,183,West
7,8,3,100,100,2,2,2,5,183,182,South
8,8,3,100,100,1,1,2,4,182,381,East
9,8,2,100,100,100,100,2,3,381,380,East
10,8,2,100,100,100,100,2,2,380,379,East
10,8,2,100,100,100,100,2,2,379,378,East
10,9,2,100,100,100,100,2,3,378,377,North
11,9,2,100,100,100,100,2,4,377,376,East
12,9,2,100,100,100,100,2,3,376,375,East
13,9,2,100,100,100,100,2,2,375,374,East
13,8,2,100,100,100,100,2,3,374,373,South
13,7,2,100,100,100,100,2,4,373,372,South
13,7,2,100,100,100,100,2,4,372,371,South
14,7,2,100,100,100,100,2,3,371,370,East
14,6,2,100,100,100,100,2,4,370,369,South
14,5,2,100,100,100,100,2,5,369,368,South
14,4,2,100,100,100,100,2,6,368,367,South
13,4,1,100,100,100,100,2,5,567,566,West
13,4,1,100,100,100,100,2,5,566,565,West
13,5,1,100,100,100,100,2,4,565,564,North
14,5,1,100,100,100,100,2,5,564,563,East
13,5,1,100,100,100,100,2,4,563,562,West
12,5,1,100,100,100,100,2,3,562,561,West
11,5,1,100,100,100,100,2,2,561,560,West
10,5,1,100,100,100,100,2,1,560,559,West
9,5,1,100,100,100,100,2,2,559,558,West
8,5,1,100,100,100,100,2,3,558,557,West
8,4,1,100,100,100,100,2,4,557,556,South
8,3,1,100,100,100,100,2,5,556,555,South
7,3,1,100,100,100,100,2,6,555,554,West
6,3,1,100,100,100,100,2,7,554,753,West
13,10,4,15,15,12,12,1,6,-3,-4,East
14,10,4,15,15,13,13,1,5,-4,-5,East
14,11,4,15,15,12,12,1,6,-5,-6,North
13,11,4,15,15,10,10,1,7,-6,-7,West
12,11,4,13,13,8,8,1,8,-7,-8,West
11,11,4,13,13,7,7,1,9,-8,-9,West
10,11,4,13,13,6,6,1,10,-9,-10,West
9,11,4,11,11,4,4,1,11,-10,-11,West
9,12,4,11,11,3,3,1,12,-11,-12,North
9,13,4,11,11,2,2,1,13,-12,-13,North
9,14,4,13,13,2,2,1,14,-13,-14,North
