@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0.04,0.533333,1,0.102041,0.102041,0.060606,0.060606,1,0.121212,0.035533,0.026992,East
0.08,0.533333,1,0.102041,0.102041,0.050505,0.050505,1,0.111111,0.033841,0.025707,East
0.12,0.533333,1,0.102041,0.102041,0.050505,0.050505,1,0.10101,0.032149,0.024422,East
0.16,0.533333,0.666667,1,1,0.050505,0.050505,1,0.090909,0.368866,0.280206,East
0.2,0.533333,0.666667,1,1,0.040404,0.040404,1,0.080808,0.367174,0.27892,East
0.24,0.533333,0.666667,1,1,0.050505,0.050505,1,0.070707,0.365482,0.277635,East
0.28,0.533333,0.666667,1,1,0.050505,0.050505,1,0.060606,0.36379,0.27635,East
0.32,0.533333,0.666667,1,1,0.050505,0.050505,1,0.050505,0.362098,0.275064,East
0.36,0.533333,0.666667,1,1,0.050505,0.050505,1,0.040404,0.360406,0.273779,East
0.36,0.466667,0.666667,1,1,0.040404,0.040404,1,0.030303,0.358714,0.272494,South
0.36,0.4,0.666667,1,1,0.040404,0.040404,1,0.020202,0.357022,0.271208,South
0.32,0.4,0.666667,1,1,0.020202,0.020202,1,0.030303,0.35533,0.269923,West
0.28,0.4,0.666667,1,1,0,0,1,0.040404,0.353638,0.268638,West
0.24,0.4,0.666667,1,1,0.010101,0.010101,1,0.050505,0.351946,0.267352,West
0.24,0.333333,0.666667,1,1,0.010101,0.010101,1,0.040404,0.350254,0.266067,South
0.28,0.333333,0.666667,1,1,0,0,1,0.030303,0.348562,0.521851,East
0.32,0.333333,0.333333,1,1,1,1,1,0.020202,0.685279,0.520566,East
0.36,0.333333,0.333333,1,1,1,1,1,0.010101,0.683587,0.51928,East
0.36,0.333333,0.333333,1,1,1,1,1,0.010101,0.681895,0.517995,East
0.36,0.4,0.333333,1,1,1,1,1,0.020202,0.680203,0.51671,North
0.4,0.4,0.333333,1,1,1,1,1,0.030303,0.678511,0.515424,East
0.44,0.4,0.333333,1,1,1,1,1,0.020202,0.676819,0.514139,East
0.48,0.4,0.333333,1,1,1,1,1,0.010101,0.675127,0.512853,East
0.48,0.333333,0.333333,1,1,1,1,1,0.020202,0.673435,0.511568,South
0.48,0.266667,0.333333,1,1,1,1,1,0.030303,0.671743,0.510283,South
0.48,0.266667,0.333333,1,1,1,1,1,0.030303,0.670051,0.508997,South
0.52,0.266667,0.333333,1,1,1,1,1,0.020202,0.668359,0.507712,East
0.52,0.2,0.333333,1,1,1,1,1,0.030303,0.666667,0.506427,South
0.52,0.133333,0.333333,1,1,1,1,1,0.040404,0.664975,0.505141,South
0.52,0.066667,0.333333,1,1,1,1,1,0.050505,0.663283,0.503856,South
0.48,0.066667,0,1,1,1,1,1,0.040404,1,0.75964,West
0.48,0.066667,0,1,1,1,1,1,0.040404,0.998308,0.758355,West
0.48,0.133333,0,1,1,1,1,1,0.030303,0.996616,0.757069,North
0.52,0.133333,0,1,1,1,1,1,0.040404,0.994924,0.755784,East
0.48,0.133333,0,1,1,1,1,1,0.030303,0.993232,0.754499,West
0.44,0.133333,0,1,1,1,1,1,0.020202,0.99154,0.753213,West
0.4,0.133333,0,1,1,1,1,1,0.010101,0.989848,0.751928,West
0.36,0.133333,0,1,1,1,1,1,0,0.988156,0.750643,West
0.32,0.133333,0,1,1,1,1,1,0.010101,0.986464,0.749357,West
0.28,0.133333,0,1,1,1,1,1,0.020202,0.984772,0.748072,West
0.28,0.066667,0,1,1,1,1,1,0.030303,0.98308,0.746787,South
0.28,0,0,1,1,1,1,1,0.040404,0.981387,0.745501,South
0.24,0,0,1,1,1,1,1,0.050505,0.979695,0.744216,West
