@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
15,3,4,33,33,30,30,0,100,-1,-2,East
15,4,4,31,31,30,30,0,100,-2,-3,North
15,5,4,31,31,28,28,0,100,-3,-4,North
16,5,4,30,30,26,26,0,100,-4,-5,East
17,5,4,28,28,26,26,0,100,-5,-6,East
18,5,4,27,27,24,24,0,100,-6,-7,East
18,6,4,27,27,22,22,0,100,-7,-8,North
18,7,4,26,26,20,20,0,100,-8,-9,North
18,8,4,24,24,19,19,0,100,-9,-10,North
19,8,4,22,22,18,18,0,100,-10,-11,East
20,8,4,20,20,16,16,0,100,-11,-12,East
21,8,4,18,18,16,16,0,100,-12,-13,East
21,9,4,18,18,16,16,0,100,-13,-14,North
21,10,4,17,17,14,14,0,100,-14,-15,North
21,11,4,16,16,12,12,0,100,-15,-16,North
21,12,4,14,14,12,12,0,100,-16,-17,North
21,13,4,14,14,10,10,0,100,-17,-18,North
21,14,4,13,13,10,10,0,100,-18,-19,North
21,15,4,13,13,10,10,0,100,-19,-20,North
20,15,4,13,13,10,10,0,100,-20,-21,West
19,15,4,11,11,8,8,0,100,-21,-22,West
19,16,4,9,9,8,8,0,100,-22,-23,North
19,17,4,9,9,6,6,0,100,-23,-24,North
18,17,4,8,8,6,6,0,100,-24,-25,West
17,17,4,7,7,6,6,0,100,-25,-26,West
16,17,4,5,5,6,6,0,100,-26,-27,West
15,17,4,5,5,5,5,0,100,-27,-28,West
14,17,4,5,5,5,5,0,100,-28,-29,West
14,16,4,4,4,6,6,0,100,-29,170,South
14,15,3,100,100,8,8,0,100,170,369,South
14,16,2,100,100,100,100,0,100,369,368,North
14,15,2,100,100,100,100,0,100,368,367,South
15,15,2,100,100,100,100,0,100,367,366,East
16,15,2,100,100,100,100,0,100,366,565,East
17,15,1,100,100,100,100,0,100,565,564,East
16,15,1,100,100,100,100,0,100,564,563,West
15,15,1,100,100,100,100,0,100,563,562,West
14,15,1,100,100,100,100,0,100,562,561,West
14,16,1,100,100,100,100,0,100,561,560,North
14,17,1,100,100,100,100,0,100,560,559,North
13,17,1,100,100,100,100,0,100,559,558,West
12,17,1,100,100,100,100,0,100,558,557,West
12,18,1,100,100,100,100,0,100,557,556,North
12,19,1,100,100,100,100,0,100,556,555,North
7,3,4,6,6,6,6,0,100,-1,-2,South
6,3,4,4,4,6,6,0,100,-2,197,West
6,4,3,100,100,5,5,0,100,197,396,North
5,4,2,100,100,100,100,0,100,396,395,West
4,4,2,100,100,100,100,0,100,395,594,West
3,4,1,100,100,100,100,0,100,594,593,West
13,10,4,13,13,18,18,0,100,-1,-2,East
13,9,4,13,13,19,19,0,100,-2,-3,South
13,8,4,11,11,19,19,0,100,-3,-4,South
14,8,4,13,13,19,19,0,100,-4,-5,East
14,7,4,13,13,19,19,0,100,-5,-6,South
14,6,4,13,13,20,20,0,100,-6,-7,South
13,6,3,100,100,21,21,0,100,193,192,West
14,6,3,100,100,19,19,0,100,192,191,East
14,7,3,12,12,12,12,0,100,191,190,North
14,8,3,100,100,16,16,0,100,190,189,North
13,8,3,100,100,18,18,0,100,189,188,West
12,8,3,100,100,20,20,0,100,188,187,West
11,8,3,100,100,22,22,0,100,187,186,West
10,8,3,100,100,22,22,0,100,186,185,West
9,8,3,100,100,21,21,0,100,185,184,West
8,8,3,100,100,20,20,0,100,184,183,West
7,8,3,100,100,18,18,0,100,183,182,West
6,8,3,100,100,18,18,0,100,182,181,West
5,8,3,100,100,16,16,0,100,181,180,West
4,8,3,100,100,15,15,0,100,180,179,West
3,8,3,100,100,14,14,0,100,179,378,West
2,8,2,100,100,100,100,0,100,378,377,West
2,9,2,100,100,100,100,0,100,377,376,North
2,10,2,100,100,100,100,0,100,376,375,North
2,11,2,100,100,100,100,0,100,375,374,North
2,12,2,100,100,100,100,0,100,374,373,North
2,13,2,100,100,100,100,0,100,373,372,North
2,14,2,100,100,100,100,0,100,372,371,North
3,14,2,100,100,100,100,0,100,371,370,East
4,14,2,100,100,100,100,0,100,370,369,East
5,14,2,100,100,100,100,0,100,369,368,East
6,14,2,100,100,100,100,0,100,368,367,East
7,14,2,100,100,100,100,0,100,367,366,East
8,14,2,100,100,100,100,0,100,366,365,East
8,13,2,100,100,100,100,0,100,365,364,South
8,12,2,100,100,100,100,0,100,364,363,South
7,12,2,100,100,100,100,0,100,363,362,West
