@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0.7,0,1,0.323232,0.323232,0.292929,0.292929,0,1,0.030501,0.024368,East
0.7,0.0625,1,0.30303,0.30303,0.292929,0.292929,0,1,0.029412,0.023466,North
0.7,0.125,1,0.30303,0.30303,0.272727,0.272727,0,1,0.028322,0.022563,North
0.75,0.125,1,0.292929,0.292929,0.252525,0.252525,0,1,0.027233,0.021661,East
0.8,0.125,1,0.272727,0.272727,0.252525,0.252525,0,1,0.026144,0.020758,East
0.85,0.125,1,0.262626,0.262626,0.232323,0.232323,0,1,0.025054,0.019856,East
0.85,0.1875,1,0.262626,0.262626,0.212121,0.212121,0,1,0.023965,0.018953,North
0.85,0.25,1,0.252525,0.252525,0.191919,0.191919,0,1,0.022876,0.018051,North
0.85,0.3125,1,0.232323,0.232323,0.181818,0.181818,0,1,0.021786,0.017148,North
0.9,0.3125,1,0.212121,0.212121,0.171717,0.171717,0,1,0.020697,0.016245,East
0.95,0.3125,1,0.191919,0.191919,0.151515,0.151515,0,1,0.019608,0.015343,East
1,0.3125,1,0.171717,0.171717,0.151515,0.151515,0,1,0.018519,0.01444,East
1,0.375,1,0.171717,0.171717,0.151515,0.151515,0,1,0.017429,0.013538,North
1,0.4375,1,0.161616,0.161616,0.131313,0.131313,0,1,0.01634,0.012635,North
1,0.5,1,0.151515,0.151515,0.111111,0.111111,0,1,0.015251,0.011733,North
1,0.5625,1,0.131313,0.131313,0.111111,0.111111,0,1,0.014161,0.01083,North
1,0.625,1,0.131313,0.131313,0.090909,0.090909,0,1,0.013072,0.009928,North
1,0.6875,1,0.121212,0.121212,0.090909,0.090909,0,1,0.011983,0.009025,North
1,0.75,1,0.121212,0.121212,0.090909,0.090909,0,1,0.010893,0.008123,North
0.95,0.75,1,0.121212,0.121212,0.090909,0.090909,0,1,0.009804,0.00722,West
0.9,0.75,1,0.10101,0.10101,0.070707,0.070707,0,1,0.008715,0.006318,West
0.9,0.8125,1,0.080808,0.080808,0.070707,0.070707,0,1,0.007625,0.005415,North
0.9,0.875,1,0.080808,0.080808,0.050505,0.050505,0,1,0.006536,0.004513,North
0.85,0.875,1,0.070707,0.070707,0.050505,0.050505,0,1,0.005447,0.00361,West
0.8,0.875,1,0.060606,0.060606,0.050505,0.050505,0,1,0.004357,0.002708,West
0.75,0.875,1,0.040404,0.040404,0.050505,0.050505,0,1,0.003268,0.001805,West
0.7,0.875,1,0.040404,0.040404,0.040404,0.040404,0,1,0.002179,0.000903,West
0.65,0.875,1,0.040404,0.040404,0.040404,0.040404,0,1,0.001089,0,West
0.65,0.8125,1,0.030303,0.030303,0.050505,0.050505,0,1,0,0.179603,South
0.65,0.75,0.666667,1,1,0.070707,0.070707,0,1,0.216776,0.359206,South
0.65,0.8125,0.333333,1,1,1,1,0,1,0.433551,0.358303,North
0.65,0.75,0.333333,1,1,1,1,0,1,0.432462,0.357401,South
0.7,0.75,0.333333,1,1,1,1,0,1,0.431373,0.356498,East
0.75,0.75,0.333333,1,1,1,1,0,1,0.430283,0.536101,East
0.8,0.75,0,1,1,1,1,0,1,0.647059,0.535199,East
0.75,0.75,0,1,1,1,1,0,1,0.645969,0.534296,West
0.7,0.75,0,1,1,1,1,0,1,0.64488,0.533394,West
0.65,0.75,0,1,1,1,1,0,1,0.643791,0.532491,West
0.65,0.8125,0,1,1,1,1,0,1,0.642702,0.531588,North
0.65,0.875,0,1,1,1,1,0,1,0.641612,0.530686,North
0.6,0.875,0,1,1,1,1,0,1,0.640523,0.529783,West
0.55,0.875,0,1,1,1,1,0,1,0.639434,0.528881,West
0.55,0.9375,0,1,1,1,1,0,1,0.638344,0.527978,North
0.55,1,0,1,1,1,1,0,1,0.637255,0.527076,North
0.3,0,1,0.050505,0.050505,0.050505,0.050505,0,1,0.030501,0.024368,South
0.25,0,1,0.030303,0.030303,0.050505,0.050505,0,1,0.029412,0.203971,West
0.25,0.0625,0.666667,1,1,0.040404,0.040404,0,1,0.246187,0.383574,North
0.2,0.0625,0.333333,1,1,1,1,0,1,0.462963,0.382671,West
0.15,0.0625,0.333333,1,1,1,1,0,1,0.461874,0.562274,West
0.1,0.0625,0,1,1,1,1,0,1,0.678649,0.561372,West
0.6,0.4375,1,0.121212,0.121212,0.171717,0.171717,0,1,0.030501,0.024368,East
0.6,0.375,1,0.121212,0.121212,0.181818,0.181818,0,1,0.029412,0.023466,South
0.6,0.3125,1,0.10101,0.10101,0.181818,0.181818,0,1,0.028322,0.022563,South
0.65,0.3125,1,0.121212,0.121212,0.181818,0.181818,0,1,0.027233,0.021661,East
0.65,0.25,1,0.121212,0.121212,0.181818,0.181818,0,1,0.026144,0.020758,South
0.65,0.1875,1,0.121212,0.121212,0.191919,0.191919,0,1,0.025054,0.019856,South
0.6,0.1875,0.666667,1,1,0.20202,0.20202,0,1,0.24183,0.199458,West
0.65,0.1875,0.666667,1,1,0.181818,0.181818,0,1,0.240741,0.198556,East
0.65,0.25,0.666667,0.111111,0.111111,0.111111,0.111111,0,1,0.239651,0.197653,North
0.65,0.3125,0.666667,1,1,0.151515,0.151515,0,1,0.238562,0.196751,North
0.6,0.3125,0.666667,1,1,0.171717,0.171717,0,1,0.237473,0.195848,West
0.55,0.3125,0.666667,1,1,0.191919,0.191919,0,1,0.236383,0.194946,West
0.5,0.3125,0.666667,1,1,0.212121,0.212121,0,1,0.235294,0.194043,West
0.45,0.3125,0.666667,1,1,0.212121,0.212121,0,1,0.234205,0.193141,West
0.4,0.3125,0.666667,1,1,0.20202,0.20202,0,1,0.233115,0.192238,West
0.35,0.3125,0.666667,1,1,0.191919,0.191919,0,1,0.232026,0.191336,West
0.3,0.3125,0.666667,1,1,0.171717,0.171717,0,1,0.230937,0.190433,West
0.25,0.3125,0.666667,1,1,0.171717,0.171717,0,1,0.229847,0.189531,West
0.2,0.3125,0.666667,1,1,0.151515,0.151515,0,1,0.228758,0.188628,West
0.15,0.3125,0.666667,1,1,0.141414,0.141414,0,1,0.227669,0.187726,West
0.1,0.3125,0.666667,1,1,0.131313,0.131313,0,1,0.22658,0.367329,West
0.05,0.3125,0.333333,1,1,1,1,0,1,0.443355,0.366426,West
0.05,0.375,0.333333,1,1,1,1,0,1,0.442266,0.365523,North
0.05,0.4375,0.333333,1,1,1,1,0,1,0.441176,0.364621,North
0.05,0.5,0.333333,1,1,1,1,0,1,0.440087,0.363718,North
0.05,0.5625,0.333333,1,1,1,1,0,1,0.438998,0.362816,North
0.05,0.625,0.333333,1,1,1,1,0,1,0.437908,0.361913,North
0.05,0.6875,0.333333,1,1,1,1,0,1,0.436819,0.361011,North
0.1,0.6875,0.333333,1,1,1,1,0,1,0.43573,0.360108,East
0.15,0.6875,0.333333,1,1,1,1,0,1,0.434641,0.359206,East
0.2,0.6875,0.333333,1,1,1,1,0,1,0.433551,0.358303,East
0.25,0.6875,0.333333,1,1,1,1,0,1,0.432462,0.357401,East
0.3,0.6875,0.333333,1,1,1,1,0,1,0.431373,0.356498,East
0.35,0.6875,0.333333,1,1,1,1,0,1,0.430283,0.355596,East
0.35,0.625,0.333333,1,1,1,1,0,1,0.429194,0.354693,South
0.35,0.5625,0.333333,1,1,1,1,0,1,0.428105,0.353791,South
0.3,0.5625,0.333333,1,1,1,1,0,1,0.427015,0.352888,West
0.25,0.5625,0.333333,1,1,1,1,0,1,0.425926,0.532491,West
0.2,0.5625,0,1,1,1,1,0,1,0.642702,0.531588,West
0.25,0.5625,0,1,1,1,1,0,1,0.641612,0.530686,East
0.3,0.5625,0,1,1,1,1,0,1,0.640523,0.529783,East
0.35,0.5625,0,1,1,1,1,0,1,0.639434,0.709386,East
0,0.125,1,0.060606,0.060606,0.080808,0.080808,0,1,0.030501,0.024368,South
0,0.0625,1,0.060606,0.060606,0.090909,0.090909,0,1,0.029412,0.023466,South
0,0,1,0.060606,0.060606,0.111111,0.111111,0,1,0.028322,0.022563,South
0,0.0625,1,0.060606,0.060606,0.111111,0.111111,0,1,0.027233,0.021661,North
0,0,1,0.060606,0.060606,0.111111,0.111111,0,1,0.026144,0.020758,South
0,0.0625,1,0.060606,0.060606,0.090909,0.090909,0,1,0.025054,0.019856,North
0.05,0.0625,1,0.050505,0.050505,0.070707,0.070707,0,1,0.023965,0.018953,East
0.1,0.0625,1,0.040404,0.040404,0.050505,0.050505,0,1,0.022876,0.018051,East
0.15,0.0625,1,0.030303,0.030303,0.050505,0.050505,0,1,0.021786,0.017148,East
0.2,0.0625,1,0.010101,0.010101,0.030303,0.030303,0,1,0.020697,0.016245,East
0.25,0.0625,0.666667,1,1,0.030303,0.030303,0,1,0.237473,0.195848,East
