@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
1,10,4,10,10,5,5,2,13,-1,-2,South
1,9,4,10,10,4,4,2,12,-2,-3,South
2,9,4,11,11,2,2,2,11,-3,-4,East
3,9,4,11,11,2,2,2,10,-4,-5,East
12,11,2,100,100,100,100,2,3,383,382,East
11,11,2,100,100,100,100,2,4,382,381,West
11,10,2,100,100,100,100,2,3,381,380,South
11,9,2,100,100,100,100,2,4,380,379,South
10,9,2,100,100,100,100,2,3,379,378,West
10,8,2,100,100,100,100,2,2,378,377,South
10,7,2,100,100,100,100,2,1,377,476,South
10,6,2,100,100,100,100,1,8,476,475,South
10,5,2,100,100,100,100,1,9,475,474,South
10,4,2,100,100,100,100,1,10,474,473,South
10,3,2,100,100,100,100,1,11,473,472,South
10,4,2,100,100,100,100,1,10,472,471,North
9,4,2,100,100,100,100,1,11,471,470,West
8,4,2,100,100,100,100,1,12,470,469,West
8,5,2,100,100,100,100,1,11,469,468,North
7,5,2,100,100,100,100,1,12,468,467,West
6,5,2,100,100,100,100,1,13,467,466,West
6,4,2,100,100,100,100,1,14,466,465,South
5,4,2,100,100,100,100,1,15,465,464,West
5,3,2,100,100,100,100,1,16,464,463,South
4,3,1,100,100,100,100,1,17,663,662,West
4,4,1,100,100,100,100,1,16,662,661,North
4,5,1,100,100,100,100,1,15,661,660,North
5,5,1,100,100,100,100,1,14,660,659,East
6,5,1,100,100,100,100,1,13,659,658,East
7,5,1,100,100,100,100,1,12,658,657,East
8,5,1,100,100,100,100,1,11,657,656,East
9,5,1,100,100,100,100,1,10,656,655,East
10,5,1,100,100,100,100,1,9,655,654,East
11,5,1,100,100,100,100,1,8,654,653,East
12,5,1,100,100,100,100,1,7,653,652,East
13,5,1,100,100,100,100,1,6,652,651,East
14,5,1,100,100,100,100,1,5,651,650,East
15,5,1,100,100,100,100,1,6,650,649,East
16,5,1,100,100,100,100,1,7,649,648,East
12,11,4,11,11,7,7,1,8,-1,-2,North
12,12,4,11,11,7,7,1,9,-2,-3,North
12,13,4,12,12,8,8,1,10,-3,-4,North
12,14,4,12,12,8,8,1,11,-4,-5,North
13,14,4,13,13,8,8,1,10,-5,-6,East
14,14,4,13,13,8,8,1,9,-6,-7,East
12,11,4,13,13,7,7,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,-3,North
13,12,4,13,13,9,9,1,8,-3,-4,East
14,12,4,15,15,10,10,1,7,-4,-5,East
14,13,4,17,17,10,10,1,8,-5,-6,North
14,14,4,17,17,11,11,1,9,-6,-7,North
15,14,4,19,19,11,11,1,8,-7,-8,East
16,14,4,19,19,13,13,1,7,-8,191,East
17,14,3,100,100,15,15,1,6,191,190,East
17,13,3,100,100,14,14,1,5,190,189,South
17,12,3,100,100,12,12,1,4,189,188,South
17,11,3,100,100,12,12,1,3,188,187,South
16,11,3,100,100,10,10,1,4,187,186,West
16,10,3,100,100,10,10,1,3,186,185,South
16,11,3,100,100,10,10,1,4,185,184,North
16,12,3,100,100,12,12,1,5,184,183,North
16,11,3,100,100,10,10,1,4,183,382,South
15,11,2,100,100,100,100,1,5,382,381,West
14,11,2,100,100,100,100,1,6,381,380,West
13,11,2,100,100,100,100,1,7,380,379,West
12,11,2,100,100,100,100,1,8,379,378,West
11,11,2,100,100,100,100,1,9,378,377,West
10,11,2,100,100,100,100,1,10,377,376,West
9,11,2,100,100,100,100,1,11,376,375,West
8,11,2,100,100,100,100,1,12,375,374,West
7,11,2,100,100,100,100,1,13,374,373,West
6,11,2,100,100,100,100,1,14,373,372,West
6,12,2,100,100,100,100,1,15,372,371,North
6,11,2,100,100,100,100,1,14,371,370,South
6,12,2,100,100,100,100,1,15,370,369,North
5,12,2,100,100,100,100,1,16,369,368,West
5,11,2,100,100,100,100,1,15,368,367,South
5,12,2,100,100,100,100,1,16,367,366,North
4,12,2,100,100,100,100,1,17,366,565,West
3,12,1,100,100,100,100,1,18,565,564,West
3,11,1,100,100,100,100,1,17,564,563,South
4,11,1,100,100,100,100,1,16,563,562,East
5,11,1,100,100,100,100,1,15,562,561,East
6,11,1,100,100,100,100,1,14,561,560,East
