@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0,0.5,1,0.090909,0.090909,0.040404,0.040404,1,0.121212,0.025862,0.020316,South
0,0.428571,1,0.090909,0.090909,0.030303,0.030303,1,0.111111,0.024425,0.019187,South
0.041667,0.428571,1,0.10101,0.10101,0.010101,0.010101,1,0.10101,0.022989,0.018059,East
0.083333,0.428571,1,0.10101,0.10101,0.010101,0.010101,1,0.090909,0.021552,0.01693,East
0.458333,0.571429,0.333333,1,1,1,1,1,0.020202,0.577586,0.453725,East
0.416667,0.571429,0.333333,1,1,1,1,1,0.030303,0.576149,0.452596,West
0.416667,0.5,0.333333,1,1,1,1,1,0.020202,0.574713,0.451467,South
0.416667,0.428571,0.333333,1,1,1,1,1,0.030303,0.573276,0.450339,South
0.375,0.428571,0.333333,1,1,1,1,1,0.020202,0.571839,0.44921,West
0.375,0.357143,0.333333,1,1,1,1,1,0.010101,0.570402,0.448081,South
0.375,0.285714,0.333333,1,1,1,1,1,0,0.568966,0.559819,South
0.375,0.214286,0.333333,1,1,1,1,0.5,0.070707,0.711207,0.558691,South
0.375,0.142857,0.333333,1,1,1,1,0.5,0.080808,0.70977,0.557562,South
0.375,0.071429,0.333333,1,1,1,1,0.5,0.090909,0.708333,0.556433,South
0.375,0,0.333333,1,1,1,1,0.5,0.10101,0.706897,0.555305,South
0.375,0.071429,0.333333,1,1,1,1,0.5,0.090909,0.70546,0.554176,North
0.333333,0.071429,0.333333,1,1,1,1,0.5,0.10101,0.704023,0.553047,West
0.291667,0.071429,0.333333,1,1,1,1,0.5,0.111111,0.702586,0.551919,West
0.291667,0.142857,0.333333,1,1,1,1,0.5,0.10101,0.701149,0.55079,North
0.25,0.142857,0.333333,1,1,1,1,0.5,0.111111,0.699713,0.549661,West
0.208333,0.142857,0.333333,1,1,1,1,0.5,0.121212,0.698276,0.548533,West
0.208333,0.071429,0.333333,1,1,1,1,0.5,0.131313,0.696839,0.547404,South
0.166667,0.071429,0.333333,1,1,1,1,0.5,0.141414,0.695402,0.546275,West
0.166667,0,0.333333,1,1,1,1,0.5,0.151515,0.693966,0.545147,South
0.125,0,0,1,1,1,1,0.5,0.161616,0.979885,0.769752,West
0.125,0.071429,0,1,1,1,1,0.5,0.151515,0.978448,0.768623,North
0.125,0.142857,0,1,1,1,1,0.5,0.141414,0.977011,0.767494,North
0.166667,0.142857,0,1,1,1,1,0.5,0.131313,0.975575,0.766366,East
