@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data

1,10,4,11,11,6,6,2,13,-1,-2,South
1,9,4,11,11,5,5,2,12,-2,-3,South
2,9,4,13,13,5,5,2,11,-3,-4,East
3,9,4,12,12,5,5,2,10,-4,-5,East
4,9,4,10,10,3,3,2,9,-5,-6,East
5,9,4,9,9,3,3,2,8,-6,-7,East
5,10,4,11,11,1,1,2,9,-7,192,North
11,11,2,100,100,100,100,2,4,386,385,East
11,10,2,100,100,100,100,2,3,385,384,South
11,9,2,100,100,100,100,2,4,384,383,South
10,9,2,100,100,100,100,2,3,383,382,West
10,8,2,100,100,100,100,2,2,382,381,South
10,7,2,100,100,100,100,2,1,381,480,South
10,6,2,100,100,100,100,1,8,480,479,South
10,5,2,100,100,100,100,1,9,479,478,South
10,4,2,100,100,100,100,1,10,478,677,South
11,4,1,100,100,100,100,1,9,677,676,East
11,5,1,100,100,100,100,1,8,676,675,North
12,5,1,100,100,100,100,1,7,675,674,East
13,5,1,100,100,100,100,1,6,674,673,East
13,4,1,100,100,100,100,1,7,673,672,South
14,4,1,100,100,100,100,1,6,672,671,East
15,4,1,100,100,100,100,1,7,671,670,East
16,4,1,100,100,100,100,1,8,670,669,East
16,5,1,100,100,100,100,1,7,669,668,North
17,5,1,100,100,100,100,1,8,668,667,East
18,5,1,100,100,100,100,1,9,667,666,East
18,6,1,100,100,100,100,1,8,666,865,North
12,11,4,11,11,7,7,1,8,-1,-2,North
12,12,4,11,11,7,7,1,9,-2,-3,North
13,12,4,13,13,9,9,1,8,-3,196,East
13,13,3,100,100,7,7,1,9,196,195,North
12,13,3,100,100,6,6,1,10,195,194,West
11,13,3,100,100,6,6,1,11,194,193,West
11,12,3,100,100,6,6,1,10,193,192,South
11,11,3,100,100,6,6,1,9,192,191,South
10,11,3,100,100,5,5,1,10,191,190,West
9,11,3,100,100,5,5,1,11,190,189,West
8,11,3,100,100,5,5,1,12,189,188,West
7,11,3,100,100,3,3,1,13,188,187,West
6,11,3,100,100,1,1,1,14,187,386,West
5,11,2,100,100,100,100,1,15,386,385,West
6,11,2,100,100,100,100,1,14,385,384,East
6,10,2,100,100,100,100,1,13,384,383,South
6,9,2,100,100,100,100,1,12,383,382,South
6,8,2,100,100,100,100,1,13,382,381,South
6,7,1,100,100,100,100,1,14,581,580,South
6,6,1,100,100,100,100,1,15,580,579,South
6,7,1,100,100,100,100,1,14,579,578,North
6,8,1,100,100,100,100,1,13,578,577,North
7,8,1,100,100,100,100,1,12,577,576,East
