@relation pacman-data-training-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute score numeric
@attribute scoreSiguiente numeric
@attribute movimiento {North,South,East,West,Stop}

@data
0,0.466667,1,0.10101,0.10101,0,0,1,0.121212,0.02446,0.019231,South
0,0.4,1,0.10101,0.10101,0,0,1,0.111111,0.023022,0.0181,South
0.041667,0.4,1,0.121212,0.121212,0,0,1,0.10101,0.021583,0.016968,East
0.083333,0.4,1,0.111111,0.111111,0,0,1,0.090909,0.020144,0.015837,East
0.125,0.4,1,0.090909,0.090909,0,0,1,0.080808,0.018705,0.014706,East
0.166667,0.4,1,0.080808,0.080808,0,0,1,0.070707,0.017266,0.013575,East
0.166667,0.466667,1,0.10101,0.10101,0,0,1,0.080808,0.015827,0.238688,North
0.208333,0.466667,0.666667,1,1,1,1,1,0.070707,0.302158,0.237557,East
0.208333,0.533333,0.666667,1,1,1,1,1,0.080808,0.300719,0.236425,North
0.25,0.533333,0.666667,1,1,1,1,1,0.070707,0.299281,0.235294,East
0.291667,0.533333,0.666667,1,1,1,1,1,0.060606,0.297842,0.234163,East
0.333333,0.533333,0.666667,1,1,1,1,1,0.050505,0.296403,0.233032,East
0.375,0.533333,0.666667,1,1,1,1,1,0.040404,0.294964,0.2319,East
0.416667,0.533333,0.333333,1,1,0,0,1,0.030303,0.581295,0.457014,East
0.416667,0.466667,0.333333,1,1,0,0,1,0.020202,0.579856,0.455882,South
0.416667,0.4,0.333333,1,1,0,0,1,0.030303,0.578417,0.454751,South
0.375,0.4,0.333333,1,1,0,0,1,0.020202,0.576978,0.45362,West
0.375,0.333333,0.333333,1,1,0,0,1,0.010101,0.57554,0.452489,South
0.375,0.266667,0.333333,1,1,0,0,1,0,0.574101,0.56448,South
0.375,0.2,0.333333,1,1,0,0,0.5,0.070707,0.716547,0.563348,South
0.375,0.133333,0.333333,1,1,0,0,0.5,0.080808,0.715108,0.562217,South
0.375,0.066667,0.333333,1,1,0,0,0.5,0.090909,0.713669,0.78733,South
0.416667,0.066667,0,1,1,0,0,0.5,0.080808,1,0.786199,East
0.416667,0.133333,0,1,1,0,0,0.5,0.070707,0.998561,0.785068,North
0.458333,0.133333,0,1,1,0,0,0.5,0.060606,0.997122,0.783937,East
0.5,0.133333,0,1,1,0,0,0.5,0.050505,0.995683,0.782805,East
0.5,0.066667,0,1,1,0,0,0.5,0.060606,0.994245,0.781674,South
0.541667,0.066667,0,1,1,0,0,0.5,0.050505,0.992806,0.780543,East
0.583333,0.066667,0,1,1,0,0,0.5,0.060606,0.991367,0.779412,East
0.625,0.066667,0,1,1,0,0,0.5,0.070707,0.989928,0.778281,East
0.625,0.133333,0,1,1,0,0,0.5,0.060606,0.988489,0.777149,North
0.666667,0.133333,0,1,1,0,0,0.5,0.070707,0.98705,0.776018,East
0.708333,0.133333,0,1,1,0,0,0.5,0.080808,0.985612,0.774887,East
0.708333,0.2,0,1,1,0,0,0.5,0.070707,0.984173,1,North
0.458333,0.533333,1,0.10101,0.10101,0,0,0.5,0.070707,0.02446,0.019231,North
0.458333,0.6,1,0.10101,0.10101,0,0,0.5,0.080808,0.023022,0.0181,North
0.5,0.6,1,0.121212,0.121212,0,0,0.5,0.070707,0.021583,0.243213,East
0.5,0.666667,0.666667,1,1,0,0,0.5,0.080808,0.307914,0.242081,North
0.458333,0.666667,0.666667,1,1,0,0,0.5,0.090909,0.306475,0.24095,West
0.416667,0.666667,0.666667,1,1,0,0,0.5,0.10101,0.305036,0.239819,West
0.416667,0.6,0.666667,1,1,0,0,0.5,0.090909,0.303597,0.238688,South
0.416667,0.533333,0.666667,1,1,0,0,0.5,0.080808,0.302158,0.237557,South
0.375,0.533333,0.666667,1,1,0,0,0.5,0.090909,0.300719,0.236425,West
0.333333,0.533333,0.666667,1,1,0,0,0.5,0.10101,0.299281,0.235294,West
0.291667,0.533333,0.666667,1,1,0,0,0.5,0.111111,0.297842,0.234163,West
0.25,0.533333,0.666667,1,1,0,0,0.5,0.121212,0.296403,0.233032,West
0.208333,0.533333,0.666667,1,1,0,0,0.5,0.131313,0.294964,0.458145,West
0.166667,0.533333,0.333333,1,1,0,0,0.5,0.141414,0.581295,0.457014,West
0.208333,0.533333,0.333333,1,1,0,0,0.5,0.131313,0.579856,0.455882,East
0.208333,0.466667,0.333333,1,1,0,0,0.5,0.121212,0.578417,0.454751,South
0.208333,0.4,0.333333,1,1,0,0,0.5,0.111111,0.576978,0.45362,South
0.208333,0.333333,0.333333,1,1,0,0,0.5,0.121212,0.57554,0.452489,South
0.208333,0.266667,0,1,1,0,0,0.5,0.131313,0.861871,0.677602,South
0.208333,0.2,0,1,1,0,0,0.5,0.141414,0.860432,0.676471,South
0.208333,0.266667,0,1,1,0,0,0.5,0.131313,0.858993,0.675339,North
0.208333,0.333333,0,1,1,0,0,0.5,0.121212,0.857554,0.674208,North
0.25,0.333333,0,1,1,0,0,0.5,0.111111,0.856115,0.673077,East
0.25,0.4,0,1,1,0,0,0.5,0.10101,0.854676,0.671946,North
0.291667,0.4,0,1,1,0,0,0.5,0.090909,0.853237,0.670814,East
0.333333,0.4,0,1,1,0,0,0.5,0.080808,0.851799,0.669683,East
0.333333,0.466667,0,1,1,0,0,0.5,0.090909,0.85036,0.668552,North
0,0.933333,1,0.141414,0.141414,0,0,0,1,0.02446,0.019231,South
0,0.866667,1,0.121212,0.121212,0,0,0,1,0.023022,0.0181,South
0,0.8,1,0.111111,0.111111,0,0,0,1,0.021583,0.016968,South
0,0.733333,1,0.111111,0.111111,0,0,0,1,0.020144,0.015837,South
0,0.666667,1,0.090909,0.090909,0,0,0,1,0.018705,0.014706,South
0,0.6,1,0.090909,0.090909,0,0,0,1,0.017266,0.013575,South
0,0.533333,1,0.090909,0.090909,0,0,0,1,0.015827,0.012443,South
0,0.466667,1,0.090909,0.090909,0,0,0,1,0.014388,0.011312,South
0,0.4,1,0.080808,0.080808,0,0,0,1,0.01295,0.010181,South
0,0.333333,1,0.070707,0.070707,0,0,0,1,0.011511,0.00905,South
0,0.266667,1,0.060606,0.060606,0,0,0,1,0.010072,0.007919,South
0,0.2,1,0.050505,0.050505,0,0,0,1,0.008633,0.006787,South
0.041667,0.2,1,0.050505,0.050505,0,0,0,1,0.007194,0.005656,East
0.041667,0.133333,1,0.030303,0.030303,0,0,0,1,0.005755,0.004525,South
0.041667,0.066667,1,0.030303,0.030303,0,0,0,1,0.004317,0.003394,South
0.166667,0,0.333333,1,1,0,0,0,1,0.571223,0.449095,East
0.166667,0.066667,0.333333,1,1,0,0,0,1,0.569784,0.447964,North
0.166667,0.133333,0.333333,1,1,0,0,0,1,0.568345,0.673077,North
0.166667,0.2,0,1,1,0,0,0,1,0.854676,0.671946,North
0.166667,0.266667,0,1,1,0,0,0,1,0.853237,0.670814,North
0.166667,0.333333,0,1,1,0,0,0,1,0.851799,0.669683,North
0.166667,0.266667,0,1,1,0,0,0,1,0.85036,0.668552,South
0,0.933333,1,0.181818,0.181818,0,0,0,1,0.02446,0.019231,South
0,0.866667,1,0.181818,0.181818,0,0,0,1,0.023022,0.0181,South
0,0.8,1,0.171717,0.171717,0,0,0,1,0.021583,0.016968,South
0,0.733333,1,0.151515,0.151515,0,0,0,1,0.020144,0.015837,South
0,0.666667,1,0.151515,0.151515,0,0,0,1,0.018705,0.014706,South
0,0.6,1,0.141414,0.141414,0,0,0,1,0.017266,0.013575,South
0,0.533333,1,0.131313,0.131313,0,0,0,1,0.015827,0.012443,South
0,0.466667,1,0.111111,0.111111,0,0,0,1,0.014388,0.011312,South
0,0.4,1,0.10101,0.10101,0,0,0,1,0.01295,0.010181,South
0,0.333333,1,0.090909,0.090909,0,0,0,1,0.011511,0.00905,South
0,0.266667,1,0.080808,0.080808,0,0,0,1,0.010072,0.007919,South
0,0.2,1,0.070707,0.070707,0,0,0,1,0.008633,0.006787,South
0.041667,0.2,1,0.070707,0.070707,0,0,0,1,0.007194,0.005656,East
0.083333,0.2,1,0.060606,0.060606,0,0,0,1,0.005755,0.004525,East
0.083333,0.266667,1,0.040404,0.040404,0,0,0,1,0.004317,0.003394,North
0.083333,0.333333,1,0.020202,0.020202,0,0,0,1,0.002878,0.002262,North
0.083333,0.4,1,0.010101,0.010101,0,0,0,1,0.001439,0.001131,North
0.125,0.4,1,0,0,0,0,0,1,0,0.226244,East
0.166667,0.4,0.666667,1,1,0,0,0,1,0.286331,0.225113,East
0.166667,0.333333,0.666667,1,1,0,0,0,1,0.284892,0.223982,South
0.166667,0.266667,0.666667,1,1,0,0,0,1,0.283453,0.222851,South
0.166667,0.2,0.666667,1,1,0,0,0,1,0.282014,0.221719,South
0.208333,0.2,0.666667,1,1,0,0,0,1,0.280576,0.220588,East
0.25,0.2,0.666667,1,1,0,0,0,1,0.279137,0.219457,East
0.291667,0.2,0.666667,1,1,0,0,0,1,0.277698,0.218326,East
0.291667,0.266667,0.666667,1,1,0,0,0,1,0.276259,0.217195,North
0.291667,0.333333,0.666667,1,1,0,0,0,1,0.27482,0.216063,North
0.291667,0.4,0.666667,1,1,0,0,0,1,0.273381,0.214932,North
0.333333,0.4,0.666667,1,1,0,0,0,1,0.271942,0.213801,East
0.375,0.4,0.333333,1,1,0,0,0,1,0.558273,0.438914,East
0.375,0.466667,0.333333,1,1,0,0,0,1,0.556835,0.437783,North
0.375,0.533333,0.333333,1,1,0,0,0,1,0.555396,0.436652,North
0.375,0.6,0.333333,1,1,0,0,0,1,0.553957,0.43552,North
0.416667,0.6,0.333333,1,1,0,0,0,1,0.552518,0.434389,East
0.458333,0.6,0.333333,1,1,0,0,0,1,0.551079,0.433258,East
0.5,0.6,0.333333,1,1,0,0,0,1,0.54964,0.432127,East
0.5,0.533333,0.333333,1,1,0,0,0,1,0.548201,0.430995,South
0.5,0.466667,0.333333,1,1,0,0,0,1,0.546763,0.429864,South
0.5,0.4,0.333333,1,1,0,0,0,1,0.545324,0.428733,South
0.5,0.333333,0.333333,1,1,0,0,0,1,0.543885,0.427602,South
0.5,0.266667,0.333333,1,1,0,0,0,1,0.542446,0.426471,South
0.5,0.2,0.333333,1,1,0,0,0,1,0.541007,0.425339,South
0.5,0.133333,0.333333,1,1,0,0,0,1,0.539568,0.424208,South
0.5,0.066667,0.333333,1,1,0,0,0,1,0.538129,0.423077,South
