@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
1,4,4,6,6,4,4,5,3,-1,-2,North
1,5,4,4,4,3,3,5,2,-2,-3,North
1,6,4,4,4,1,1,5,1,-3,296,North
1,7,3,2,2,9223372036854775807,9223372036854775807,4,2,296,295,North
1,8,3,1,1,9223372036854775807,9223372036854775807,4,1,295,594,North
1,9,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,3,2,594,593,North
1,10,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,3,3,593,592,North
2,10,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,3,2,592,591,East
2,9,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,3,1,591,890,South
3,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,890,889,East
3,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,889,888,South
4,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,888,887,East
4,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,5,887,1086,North
2,11,4,13,13,7,7,2,13,-4,-5,East
3,11,4,12,12,7,7,2,12,-5,-6,East
4,11,4,12,12,7,7,2,11,-6,-7,East
5,11,4,10,10,7,7,2,10,-7,-8,East
6,11,4,9,9,7,7,2,9,-8,-9,East
7,11,4,9,9,7,7,2,8,-9,-10,East
8,11,4,9,9,5,5,2,7,-10,-11,East
9,11,4,9,9,3,3,2,6,-11,188,East
