@relation InstanceResultListener

@attribute Key_Dataset {pacman-data-training}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.rules.ZeroR,weka.classifiers.rules.PART,weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.functions.SimpleLogistic}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-I 0 -M 500 -H 50 -W 0.0'}
@attribute Key_Scheme_version_ID {-217733168393644444,48055541465867954,8121455039782598361,5995231201785697655,-3080186098777067172,7397710626304705059}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 63\nSize of the tree: 125\n','Number of rules: 32\n','Number of rules: 34\n','Number of rules: 35\n','Number of rules: 31\n','Number of rules: 27\n','Number of rules: 30\n','Number of rules: 37\n','Number of rules: 29\n','Number of rules: 36\n','Number of rules: 26\n','Number of rules: 33\n','Number of rules: 28\n','Number of rules: 25\n','Number of rules: 23\n','Number of rules: 38\n','Number of rules: 19\n','Number of rules: 17\n','Number of rules: 22\n','Number of rules: 16\n','Number of rules: 18\n','Number of rules: 20\n','Number of rules: 15\n','Number of rules: 21\n','Number of rules: 14\n','Number of rules: 39\n','Number of rules: 42\n','Number of rules: 41\n','Number of rules: 24\n','Number of rules: 54\n','Number of rules: 52\n','Number of rules: 53\n','Number of rules: 49\n','Number of rules: 60\n','Number of rules: 55\n','Number of rules: 58\n','Number of rules: 50\n','Number of rules: 56\n','Number of rules: 46\n','Number of rules: 59\n','Number of rules: 51\n','Number of rules: 45\n','Number of rules: 48\n','Number of rules: 57\n','Number of rules: 47\n','Number of rules: 40\n','Number of rules: 43\n','Number of rules: 44\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

pacman-data-training,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,10,12,0,45.454545,54.545455,0,0.274725,0.231336,0.446873,77.780427,116.042817,43.626999,9675.462854,-9631.835855,1.983045,439.793766,-437.810721,13.854335,0.629742,31.756333,0.6,3,0.235294,4,0.764706,13,0.4,2,0.428571,0.6,0.5,0.328139,0.741176,0.411169,0.454545,0.170395,0.829605,0.545455,0.488312,0.454545,0.461892,0.292322,0.659674,0.401279,0.441919,0.454545,0.001,0,0,0,0,0,26752,26282,4532,59.090909,30,'Number of leaves: 49\nSize of the tree: 97\n',97,49,49,?,?
pacman-data-training,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,14,8,0,63.636364,36.363636,0,0.516484,0.161375,0.370724,54.257936,96.268707,43.626999,6450.843709,-6407.21671,1.983045,293.220169,-291.237123,23.010247,1.04592,52.743137,0.8,4,0.176471,3,0.823529,14,0.2,1,0.571429,0.8,0.666667,0.561011,0.911765,0.644444,0.636364,0.104501,0.895499,0.363636,0.684416,0.636364,0.646235,0.54457,0.794656,0.588269,0.622475,0.636364,0,0,0,0,0,0,20944,26282,4532,72.727273,28.181818,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37,?,?
pacman-data-training,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,15,7,0,68.181818,31.818182,0,0.56,0.141385,0.323925,47.551393,84.144437,43.588961,3233.985283,-3190.396322,1.981316,146.999331,-145.018015,25.152309,1.143287,57.703392,0.5,2,0.055556,1,0.944444,17,0.5,2,0.666667,0.5,0.571429,0.499512,0.930556,0.761111,0.681818,0.125364,0.874636,0.318182,0.693388,0.681818,0.663354,0.577979,0.827943,0.626676,0.64412,0.681818,0.008,0,0,0,0,0,22880,26282,4532,86.363636,31.818182,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41,?,?
pacman-data-training,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,12,10,0,54.545455,45.454545,0,0.388889,0.183362,0.390989,61.669274,101.565379,43.588961,7525.007027,-7481.418067,1.981316,342.045774,-340.064458,19.812081,0.900549,45.45206,0.25,1,0.222222,4,0.777778,14,0.75,3,0.2,0.25,0.222222,0.025565,0.590278,0.245671,0.545455,0.143657,0.856343,0.454545,0.563636,0.545455,0.552801,0.407812,0.74406,0.509357,0.520491,0.545455,0,0,0,0,0,0,24332,26282,4532,68.181818,28.181818,'Number of leaves: 44\nSize of the tree: 87\n',87,44,44,?,?
pacman-data-training,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,12,10,0,54.545455,45.454545,0,0.382022,0.186058,0.400668,62.576071,104.079561,43.588961,5386.78053,-5343.19157,1.981316,244.85366,-242.872344,19.049118,0.865869,43.701703,0.75,3,0.055556,1,0.944444,17,0.25,1,0.75,0.75,0.75,0.694444,0.833333,0.566288,0.545455,0.168657,0.831343,0.454545,0.530303,0.545455,0.530844,0.372507,0.766104,0.528765,0.535714,0.545455,0,0,0,0,0,0,20460,26282,4532,77.272727,30,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36,?,?
pacman-data-training,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,9,13,0,40.909091,59.090909,0,0.205556,0.25143,0.452037,84.56201,117.423548,43.588961,8608.751835,-8565.162875,1.981316,391.306902,-389.325585,10.606545,0.482116,24.333099,0.25,1,0.222222,4,0.777778,14,0.75,3,0.2,0.25,0.222222,0.025565,0.548611,0.203409,0.409091,0.191607,0.808393,0.590909,0.427273,0.409091,0.416437,0.223498,0.626207,0.372094,0.384776,0.409091,0,0,0,0,0,0,21912,26282,4532,63.636364,35.454545,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39,?,?
pacman-data-training,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,11,11,0,50,50,0,0.322129,0.170058,0.351943,57.194648,91.42258,43.588961,2168.001899,-2124.412939,1.981316,98.545541,-96.564224,21.086125,0.95846,48.374919,0.5,2,0.222222,4,0.777778,14,0.5,2,0.333333,0.5,0.4,0.240563,0.666667,0.465909,0.5,0.169036,0.830964,0.5,0.509091,0.5,0.475357,0.338197,0.848529,0.662869,0.450082,0.5,0.009,0,0,0,0,0,23364,26282,4532,86.363636,30.909091,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42,?,?
pacman-data-training,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,16,6,0,72.727273,27.272727,0,0.631285,0.135955,0.307588,45.475969,79.412939,44.160454,3232.107978,-3187.947525,2.007293,146.913999,-144.906706,26.676657,1.212575,60.408475,0.8,4,0.058824,1,0.941176,16,0.2,1,0.8,0.8,0.8,0.741176,0.964706,0.885,0.727273,0.098596,0.901404,0.272727,0.8,0.727273,0.689394,0.653076,0.864973,0.720774,0.679167,0.727273,0,0,0,0,0,0,24816,26282,4532,86.363636,31.818182,'Number of leaves: 45\nSize of the tree: 89\n',89,45,45,?,?
pacman-data-training,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,197,21,11,10,0,52.380952,47.619048,0,0.355828,0.204385,0.393531,68.526685,101.870741,41.916286,5387.66166,-5345.745374,1.996014,256.555317,-254.559304,16.180724,0.770511,38.602476,0.2,1,0.125,2,0.875,14,0.8,4,0.333333,0.2,0.25,0.091287,0.41875,0.290476,0.52381,0.166457,0.833543,0.47619,0.507937,0.52381,0.508503,0.353261,0.714362,0.555933,0.497024,0.52381,0,0,0,0,0,0,21428,26407,4407,76.190476,40,'Number of leaves: 38\nSize of the tree: 75\n',75,38,38,?,?
pacman-data-training,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,197,21,15,6,0,71.428571,28.571429,0,0.622754,0.135677,0.314738,45.490236,81.474168,41.916286,4302.711465,-4260.795179,1.996014,204.891022,-202.895009,26.572393,1.265352,63.393958,0.8,4,0.1875,3,0.8125,13,0.2,1,0.571429,0.8,0.666667,0.553399,0.8125,0.540952,0.714286,0.086099,0.913901,0.285714,0.777324,0.714286,0.70938,0.644105,0.84658,0.67517,0.715152,0.714286,0.008,0,0.015625,0,15.625,0,23364,26407,4407,80.952381,31.428571,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42,?,?
pacman-data-training,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220315.1257,196,22,10,12,0,45.454545,54.545455,0,0.280654,0.218199,0.406419,73.363486,105.537785,43.626999,7530.080421,-7486.453422,1.983045,342.276383,-340.293337,16.268552,0.73948,37.290101,0.6,3,0.352941,6,0.647059,11,0.4,2,0.333333,0.6,0.428571,0.21058,0.723529,0.425455,0.454545,0.16582,0.83418,0.545455,0.523485,0.454545,0.460855,0.308305,0.716332,0.524577,0.454618,0.454545,0,0,0,0,0,0,23848,26282,4532,68.181818,35.454545,'Number of leaves: 43\nSize of the tree: 85\n',85,43,43,?,?
