@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
1,10,4,10,10,7,7,2,13,-1,-2,South
1,9,4,9,9,7,7,2,12,-2,-3,South
1,8,4,9,9,6,6,2,11,-3,-4,South
2,8,4,11,11,6,6,2,10,-4,-5,East
2,7,4,9,9,6,6,2,9,-5,-6,South
2,8,4,11,11,6,6,2,10,-6,-7,North
3,8,4,12,12,5,5,2,9,-7,-8,East
4,8,4,12,12,5,5,2,8,-8,-9,East
5,8,4,10,10,5,5,2,7,-9,-10,East
5,9,4,12,12,5,5,2,8,-10,-11,North
5,8,4,12,12,3,3,2,7,-11,-12,South
6,8,4,11,11,1,1,2,6,-12,187,East
7,8,3,10,10,9223372036854775807,9223372036854775807,2,5,187,186,East
7,9,3,11,11,9223372036854775807,9223372036854775807,2,6,186,185,North
6,9,2,12,12,9223372036854775807,9223372036854775807,2,7,385,384,West
6,8,2,12,12,9223372036854775807,9223372036854775807,2,6,384,383,South
6,7,2,10,10,9223372036854775807,9223372036854775807,2,5,383,382,South
7,7,2,8,8,9223372036854775807,9223372036854775807,2,4,382,381,East
8,7,2,8,8,9223372036854775807,9223372036854775807,2,3,381,380,East
8,6,2,8,8,9223372036854775807,9223372036854775807,2,2,380,379,South
8,5,2,6,6,9223372036854775807,9223372036854775807,2,3,379,378,South
8,4,2,4,4,9223372036854775807,9223372036854775807,2,4,378,377,South
7,4,2,2,2,9223372036854775807,9223372036854775807,2,5,377,376,West
6,4,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,6,576,575,West
6,5,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,5,575,574,North
7,5,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,574,573,East
8,5,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,573,572,East
8,6,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,2,572,571,North
8,7,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,571,570,North
8,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,570,569,North
8,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,5,569,568,North
9,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,568,567,East
10,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,567,566,East
11,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,566,565,East
12,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,565,564,East
12,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,564,563,South
12,9,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,563,562,North
12,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,4,562,561,South
13,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,3,561,760,East
12,11,4,11,11,7,7,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,13,13,7,7,1,8,197,196,East
13,11,3,11,11,8,8,1,7,196,195,South
13,10,3,11,11,9,9,1,6,195,194,South
13,9,3,10,10,9,9,1,5,194,193,South
13,8,3,10,10,10,10,1,6,193,192,South
13,7,3,12,12,10,10,1,7,192,191,South
13,6,3,14,14,10,10,1,8,191,390,South
13,5,2,14,14,12,12,1,9,390,389,South
13,6,2,13,13,11,11,1,8,389,388,North
13,7,2,11,11,9,9,1,7,388,387,North
13,8,2,10,10,7,7,1,6,387,386,North
13,9,2,12,12,6,6,1,5,386,385,North
13,10,2,14,14,5,5,1,6,385,384,North
12,10,2,13,13,3,3,1,7,384,383,West
11,10,2,11,11,3,3,1,8,383,382,West
11,11,2,11,11,2,2,1,9,382,381,North
10,11,2,11,11,2,2,1,10,381,380,West
9,11,2,10,10,1,1,1,11,380,579,West
8,11,1,10,10,9223372036854775807,9223372036854775807,1,12,579,578,West
8,10,1,9,9,9223372036854775807,9223372036854775807,1,11,578,577,South
8,9,1,7,7,9223372036854775807,9223372036854775807,1,10,577,576,South
7,9,1,5,5,9223372036854775807,9223372036854775807,1,11,576,575,West
6,9,1,4,4,9223372036854775807,9223372036854775807,1,12,575,574,West
5,9,1,2,2,9223372036854775807,9223372036854775807,1,13,574,573,West
4,9,1,2,2,9223372036854775807,9223372036854775807,1,14,573,572,West
1,17,4,14,14,16,16,0,999999999,-1,-2,South
1,16,4,13,13,14,14,0,999999999,-2,-3,South
1,15,4,12,12,13,13,0,999999999,-3,-4,South
1,14,4,10,10,13,13,0,999999999,-4,-5,South
1,13,4,8,8,11,11,0,999999999,-5,-6,South
1,12,4,8,8,9,9,0,999999999,-6,-7,South
1,11,4,6,6,8,8,0,999999999,-7,-8,South
1,10,4,4,4,7,7,0,999999999,-8,-9,South
1,9,4,4,4,7,7,0,999999999,-9,-10,South
1,8,4,4,4,6,6,0,999999999,-10,-11,South
1,7,4,2,2,4,4,0,999999999,-11,-12,South
1,6,4,2,2,2,2,0,999999999,-12,-13,South
1,5,3,9223372036854775807,9223372036854775807,2,2,0,999999999,187,186,South
1,4,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,386,585,South
1,5,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,585,584,North
1,6,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,584,583,North
2,6,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,583,582,East
3,6,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,582,581,East
3,7,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,581,580,North
3,8,1,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,580,779,North
1,17,4,17,17,24,24,0,999999999,-1,-2,South
1,16,4,16,16,22,22,0,999999999,-2,-3,South
1,15,4,16,16,20,20,0,999999999,-3,-4,South
1,14,4,14,14,20,20,0,999999999,-4,-5,South
1,13,4,12,12,20,20,0,999999999,-5,-6,South
1,12,4,12,12,19,19,0,999999999,-6,-7,South
1,11,4,10,10,17,17,0,999999999,-7,-8,South
1,10,4,9,9,15,15,0,999999999,-8,-9,South
1,9,4,7,7,14,14,0,999999999,-9,-10,South
1,8,4,7,7,13,13,0,999999999,-10,-11,South
1,7,4,5,5,13,13,0,999999999,-11,-12,South
1,6,4,4,4,11,11,0,999999999,-12,-13,South
1,5,4,2,2,11,11,0,999999999,-13,-14,South
2,5,4,2,2,11,11,0,999999999,-14,-15,East
2,6,4,2,2,11,11,0,999999999,-15,-16,North
2,5,3,9223372036854775807,9223372036854775807,11,11,0,999999999,184,183,South
2,6,3,9223372036854775807,9223372036854775807,10,10,0,999999999,183,182,North
3,6,3,9223372036854775807,9223372036854775807,10,10,0,999999999,182,181,East
4,6,3,9223372036854775807,9223372036854775807,10,10,0,999999999,181,180,East
4,5,3,9223372036854775807,9223372036854775807,10,10,0,999999999,180,179,South
4,6,3,9223372036854775807,9223372036854775807,9,9,0,999999999,179,178,North
5,6,3,9223372036854775807,9223372036854775807,8,8,0,999999999,178,177,East
6,6,3,9223372036854775807,9223372036854775807,6,6,0,999999999,177,176,East
7,6,3,9223372036854775807,9223372036854775807,4,4,0,999999999,176,175,East
8,6,3,9223372036854775807,9223372036854775807,4,4,0,999999999,175,174,East
8,5,3,9223372036854775807,9223372036854775807,3,3,0,999999999,174,173,South
8,4,3,9223372036854775807,9223372036854775807,3,3,0,999999999,173,172,South
8,5,3,9223372036854775807,9223372036854775807,2,2,0,999999999,172,171,North
9,5,2,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,0,999999999,371,370,East
